year,table,code,should be
2006,S0701,HC01_EST_VC43,bach_deg_num
2007,S0701,HC01_EST_VC43,bach_deg_num
2008,S0701,HC01_EST_VC43,bach_deg_num
2009,S0701,HC01_EST_VC43,bach_deg_num
2010,S0701,HC01_EST_VC52,bach_deg_num
2011,S0701,HC01_EST_VC52,bach_deg_num
2012,S0701,HC01_EST_VC52,bach_deg_num
2006,S0701,HC01_EST_VC55,median_HH_income
2007,S0701,HC01_EST_VC55,median_HH_income
2008,S0701,HC01_EST_VC55,median_HH_income
2009,S0701,HC01_EST_VC55,median_HH_income
2010,S0701,HC01_EST_VC67,median_HH_income
2011,S0701,HC01_EST_VC67,median_HH_income
2012,S0701,HC01_EST_VC67,median_HH_income
2005,S0701,HC01_EST_VC52,bach_deg_num
2013,S0701,HC01_EST_VC50,bach_deg_num
2014,S0701,HC01_EST_VC50,bach_deg_num
2015,S0701,HC01_EST_VC50,bach_deg_num
2016,S0701,HC01_EST_VC50,bach_deg_num
2017,S0701,HC01_EST_VC50,bach_deg_num
2005,B02001,HD01_VD03,black_pop
2006,B02001,HD01_VD03,black_pop
2007,B02001,HD01_VD03,black_pop
2008,B02001,HD01_VD03,black_pop
2010,B02001,HD01_VD03,black_pop
2011,B02001,HD01_VD03,black_pop
2012,B02001,HD01_VD03,black_pop
2013,B02001,HD01_VD03,black_pop
2014,B02001,HD01_VD03,black_pop
2015,B02001,HD01_VD03,black_pop
2016,B02001,HD01_VD03,black_pop
2017,B02001,HD01_VD03,black_pop
2005,S0701,HC01_EST_VC50,high_school_num
2006,S0701,HC01_EST_VC41,high_school_num
2007,S0701,HC01_EST_VC41,high_school_num
2008,S0701,HC01_EST_VC41,high_school_num
2009,S0701,HC01_EST_VC41,high_school_num
2010,S0701,HC01_EST_VC50,high_school_num
2011,S0701,HC01_EST_VC50,high_school_num
2012,S0701,HC01_EST_VC50,high_school_num
2013,S0701,HC01_EST_VC48,high_school_num
2014,S0701,HC01_EST_VC48,high_school_num
2015,S0701,HC01_EST_VC48,high_school_num
2016,S0701,HC01_EST_VC48,high_school_num
2017,S0701,HC01_EST_VC48,high_school_num
2005,S0101,HC01_EST_VC33,median_age
2006,S0101,HC01_EST_VC33,median_age
2007,S0101,HC01_EST_VC33,median_age
2008,S0101,HC01_EST_VC33,median_age
2009,S0101,HC01_EST_VC33,median_age
2010,S0101,HC01_EST_VC35,median_age
2011,S0101,HC01_EST_VC35,median_age
2012,S0101,HC01_EST_VC35,median_age
2013,S0101,HC01_EST_VC35,median_age
2014,S0101,HC01_EST_VC35,median_age
2015,S0101,HC01_EST_VC35,median_age
2016,S0101,HC01_EST_VC35,median_age
2017,S0101,HC01_EST_VC37,median_age
2005,S0701,HC01_EST_VC64,median_HH_income
2013,S0701,HC01_EST_VC64,median_HH_income
2014,S0701,HC01_EST_VC64,median_HH_income
2015,S0701,HC01_EST_VC64,median_HH_income
2016,S0701,HC01_EST_VC64,median_HH_income
2017,S0701,HC01_EST_VC64,median_HH_income
2005,B25105,HD01_VD01,mortgage_cost
2006,B25105,HD01_VD01,mortgage_cost
2007,B25105,HD01_VD01,mortgage_cost
2008,B25105,HD01_VD01,mortgage_cost
2009,B25105,HD01_VD01,mortgage_cost
2010,B25105,HD01_VD01,mortgage_cost
2011,B25105,HD01_VD01,mortgage_cost
2012,B25105,HD01_VD01,mortgage_cost
2013,B25105,HD01_VD01,mortgage_cost
2014,B25105,HD01_VD01,mortgage_cost
2015,B25105,HD01_VD01,mortgage_cost
2016,B25105,HD01_VD01,mortgage_cost
2017,B25105,HD01_VD01,mortgage_cost
2005,B02001,HD01_VD01,total_pop
2006,B02001,HD01_VD01,total_pop
2007,B02001,HD01_VD01,total_pop
2008,B02001,HD01_VD01,total_pop
2010,B02001,HD01_VD01,total_pop
2011,B02001,HD01_VD01,total_pop
2012,B02001,HD01_VD01,total_pop
2013,B02001,HD01_VD01,total_pop
2014,B02001,HD01_VD01,total_pop
2015,B02001,HD01_VD01,total_pop
2016,B02001,HD01_VD01,total_pop
2017,B02001,HD01_VD01,total_pop
2005,S2301,HC04_EST_VC01,unemp_rate
2006,S2301,HC04_EST_VC01,unemp_rate
2007,S2301,HC04_EST_VC01,unemp_rate
2008,S2301,HC04_EST_VC01,unemp_rate
2009,S2301,HC04_EST_VC01,unemp_rate
2010,S2301,HC04_EST_VC01,unemp_rate
2011,S2301,HC04_EST_VC01,unemp_rate
2012,S2301,HC04_EST_VC01,unemp_rate
2013,S2301,HC04_EST_VC01,unemp_rate
2014,S2301,HC04_EST_VC01,unemp_rate
2015,S2301,HC04_EST_VC01,unemp_rate
2016,S2301,HC04_EST_VC01,unemp_rate
2017,S2301,HC04_EST_VC01,unemp_rate
2005,B02001,HD01_VD02,white_pop
2006,B02001,HD01_VD02,white_pop
2007,B02001,HD01_VD02,white_pop
2008,B02001,HD01_VD02,white_pop
2010,B02001,HD01_VD02,white_pop
2011,B02001,HD01_VD02,white_pop
2012,B02001,HD01_VD02,white_pop
2013,B02001,HD01_VD02,white_pop
2014,B02001,HD01_VD02,white_pop
2015,B02001,HD01_VD02,white_pop
2016,B02001,HD01_VD02,white_pop
2017,B02001,HD01_VD02,white_pop
