bach_deg_num,black_pop,high_school_num,median_HH_income,median_age,mortgage_cost,total_pop,unemp_rate,white_pop,year,district_num,state_name
57034.0,180257.0,143509.0,20188.0,37.3,615,643536.0,6.3,442165.0,2005,1,Alabama
51116.0,187758.0,132776.0,20268.0,37.2,545,629035.0,6.7,424567.0,2005,2,Alabama
43940.0,193818.0,134542.0,18797.0,36.6,532,616491.0,8.8,402707.0,2005,3,Alabama
34474.0,30069.0,146741.0,18606.0,38.9,468,634109.0,6.9,582022.0,2005,4,Alabama
77298.0,107583.0,128359.0,22070.0,38.6,593,649666.0,7.0,509757.0,2005,5,Alabama
97495.0,63646.0,125765.0,27068.0,37.6,774,679525.0,4.2,596136.0,2005,6,Alabama
37550.0,381199.0,130291.0,16201.0,35.3,571,590196.0,11.4,196273.0,2005,7,Alabama
66674.0,22103.0,112102.0,26161.0,33.9,976,641724.0,8.6,443874.0,2005,1,Alaska
50918.0,7223.0,123808.0,19587.0,36.3,619,674569.0,8.8,450112.0,2005,1,Arizona
80340.0,25123.0,167075.0,25682.0,38.6,921,848603.0,6.8,697394.0,2005,2,Arizona
85211.0,19424.0,104771.0,29186.0,36.3,944,654168.0,4.2,544038.0,2005,3,Arizona
29142.0,44527.0,102778.0,20099.0,27.6,747,676666.0,8.0,441828.0,2005,4,Arizona
112789.0,21953.0,82158.0,29083.0,34.9,985,676482.0,5.1,566335.0,2005,5,Arizona
103139.0,23043.0,135136.0,29250.0,34.4,1016,869666.0,4.5,720093.0,2005,6,Arizona
42814.0,17418.0,127400.0,20044.0,30.7,676,730215.0,9.1,436932.0,2005,7,Arizona
97194.0,22058.0,105770.0,24927.0,40.7,772,699470.0,5.3,584072.0,2005,8,Arizona
41012.0,108653.0,166285.0,17111.0,37.8,504,658744.0,7.7,534459.0,2005,1,Arkansas
74322.0,135452.0,146581.0,22591.0,36.1,672,678284.0,6.1,509029.0,2005,2,Arkansas
66477.0,15984.0,157963.0,20687.0,35.4,598,722962.0,5.3,630985.0,2005,3,Arkansas
41258.0,154171.0,161024.0,17210.0,39.0,473,641441.0,9.0,460596.0,2005,4,Arkansas
72362.0,7015.0,111028.0,23614.0,36.6,967,653052.0,6.6,524535.0,2005,1,California
61162.0,7333.0,122937.0,20541.0,36.7,794,687982.0,9.4,543345.0,2005,2,California
96595.0,36703.0,109769.0,31105.0,35.7,1249,733436.0,6.4,534977.0,2005,3,California
101590.0,6921.0,111905.0,27813.0,39.6,1211,711823.0,6.2,617260.0,2005,4,California
68049.0,98993.0,97542.0,23369.0,32.5,939,664084.0,8.3,328182.0,2005,5,California
109967.0,10511.0,73626.0,32832.0,40.4,1513,616098.0,6.0,499064.0,2005,6,California
