GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC01_EST_VC15,HC01_MOE_VC15,HC02_EST_VC15,HC02_MOE_VC15,HC03_EST_VC15,HC03_MOE_VC15,HC04_EST_VC15,HC04_MOE_VC15,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC03_EST_VC16,HC03_MOE_VC16,HC04_EST_VC16,HC04_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17
Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,"Households; Estimate; Total - Less than $10,000","Households; Margin of Error; Total - Less than $10,000","Families; Estimate; Total - Less than $10,000","Families; Margin of Error; Total - Less than $10,000","Married-couple families; Estimate; Total - Less than $10,000","Married-couple families; Margin of Error; Total - Less than $10,000","Nonfamily households; Estimate; Total - Less than $10,000","Nonfamily households; Margin of Error; Total - Less than $10,000","Households; Estimate; Total - $10,000 to $14,999","Households; Margin of Error; Total - $10,000 to $14,999","Families; Estimate; Total - $10,000 to $14,999","Families; Margin of Error; Total - $10,000 to $14,999","Married-couple families; Estimate; Total - $10,000 to $14,999","Married-couple families; Margin of Error; Total - $10,000 to $14,999","Nonfamily households; Estimate; Total - $10,000 to $14,999","Nonfamily households; Margin of Error; Total - $10,000 to $14,999","Households; Estimate; Total - $15,000 to $24,999","Households; Margin of Error; Total - $15,000 to $24,999","Families; Estimate; Total - $15,000 to $24,999","Families; Margin of Error; Total - $15,000 to $24,999","Married-couple families; Estimate; Total - $15,000 to $24,999","Married-couple families; Margin of Error; Total - $15,000 to $24,999","Nonfamily households; Estimate; Total - $15,000 to $24,999","Nonfamily households; Margin of Error; Total - $15,000 to $24,999","Households; Estimate; Total - $25,000 to $34,999","Households; Margin of Error; Total - $25,000 to $34,999","Families; Estimate; Total - $25,000 to $34,999","Families; Margin of Error; Total - $25,000 to $34,999","Married-couple families; Estimate; Total - $25,000 to $34,999","Married-couple families; Margin of Error; Total - $25,000 to $34,999","Nonfamily households; Estimate; Total - $25,000 to $34,999","Nonfamily households; Margin of Error; Total - $25,000 to $34,999","Households; Estimate; Total - $35,000 to $49,999","Households; Margin of Error; Total - $35,000 to $49,999","Families; Estimate; Total - $35,000 to $49,999","Families; Margin of Error; Total - $35,000 to $49,999","Married-couple families; Estimate; Total - $35,000 to $49,999","Married-couple families; Margin of Error; Total - $35,000 to $49,999","Nonfamily households; Estimate; Total - $35,000 to $49,999","Nonfamily households; Margin of Error; Total - $35,000 to $49,999","Households; Estimate; Total - $50,000 to $74,999","Households; Margin of Error; Total - $50,000 to $74,999","Families; Estimate; Total - $50,000 to $74,999","Families; Margin of Error; Total - $50,000 to $74,999","Married-couple families; Estimate; Total - $50,000 to $74,999","Married-couple families; Margin of Error; Total - $50,000 to $74,999","Nonfamily households; Estimate; Total - $50,000 to $74,999","Nonfamily households; Margin of Error; Total - $50,000 to $74,999","Households; Estimate; Total - $75,000 to $99,999","Households; Margin of Error; Total - $75,000 to $99,999","Families; Estimate; Total - $75,000 to $99,999","Families; Margin of Error; Total - $75,000 to $99,999","Married-couple families; Estimate; Total - $75,000 to $99,999","Married-couple families; Margin of Error; Total - $75,000 to $99,999","Nonfamily households; Estimate; Total - $75,000 to $99,999","Nonfamily households; Margin of Error; Total - $75,000 to $99,999","Households; Estimate; Total - $100,000 to $149,999","Households; Margin of Error; Total - $100,000 to $149,999","Families; Estimate; Total - $100,000 to $149,999","Families; Margin of Error; Total - $100,000 to $149,999","Married-couple families; Estimate; Total - $100,000 to $149,999","Married-couple families; Margin of Error; Total - $100,000 to $149,999","Nonfamily households; Estimate; Total - $100,000 to $149,999","Nonfamily households; Margin of Error; Total - $100,000 to $149,999","Households; Estimate; Total - $150,000 to $199,999","Households; Margin of Error; Total - $150,000 to $199,999","Families; Estimate; Total - $150,000 to $199,999","Families; Margin of Error; Total - $150,000 to $199,999","Married-couple families; Estimate; Total - $150,000 to $199,999","Married-couple families; Margin of Error; Total - $150,000 to $199,999","Nonfamily households; Estimate; Total - $150,000 to $199,999","Nonfamily households; Margin of Error; Total - $150,000 to $199,999","Households; Estimate; Total - $200,000 or more","Households; Margin of Error; Total - $200,000 or more","Families; Estimate; Total - $200,000 or more","Families; Margin of Error; Total - $200,000 or more","Married-couple families; Estimate; Total - $200,000 or more","Married-couple families; Margin of Error; Total - $200,000 or more","Nonfamily households; Estimate; Total - $200,000 or more","Nonfamily households; Margin of Error; Total - $200,000 or more",Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Married-couple families; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Nonfamily households; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
5000900US0101,0101,"Congressional District 1 (109th Congress), Alabama",252079,4387,178565,4042,126121,3783,73514,3776,12.1,1.3,8.4,1.2,2.8,1.0,22.3,3.2,7.3,1.0,5.3,1.2,3.0,0.9,12.5,2.0,15.9,1.3,13.9,1.6,9.3,1.5,21.2,2.1,12.8,1.2,12.6,1.2,12.4,1.5,13.7,2.2,16.0,1.3,16.5,1.6,18.2,1.9,14.2,2.3,17.1,1.4,19.9,1.7,23.5,2.2,9.2,1.7,8.4,1.0,10.1,1.2,13.6,1.8,4.0,1.4,7.3,0.8,9.1,1.0,11.7,1.3,2.6,1.0,1.6,0.4,2.1,0.5,2.9,0.6,0.3,0.3,1.5,0.3,2.1,0.5,2.8,0.7,0.1,0.1,36726,1426,43667,2124,53847,2012,21877,1420,50068,1864,58013,2463,69635,3439,29364,1610,26.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),27.8,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.9,(X)
5000900US0102,0102,"Congressional District 2 (109th Congress), Alabama",251436,3292,173438,3576,125500,3336,77998,4095,13.2,1.2,8.4,1.3,2.3,0.7,25.6,2.2,7.2,0.7,4.9,0.8,3.0,0.9,12.7,1.7,15.3,1.1,14.0,1.4,9.8,1.4,19.8,2.1,12.7,1.0,11.6,1.2,10.8,1.4,15.7,2.1,15.3,1.3,16.2,1.5,17.3,1.5,12.2,1.9,17.8,1.3,20.9,1.6,25.4,2.0,8.7,1.4,9.0,0.8,11.5,1.1,14.8,1.5,2.8,0.8,6.4,0.7,8.5,1.0,11.3,1.4,1.8,0.7,1.3,0.3,1.6,0.4,2.1,0.5,0.4,0.3,1.7,0.4,2.3,0.6,3.2,0.8,0.4,0.3,36139,1241,44756,1760,56108,2077,20649,1456,49599,1881,58340,2575,70302,3322,28020,1498,27.7,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.2,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.2,(X)
5000900US0103,0103,"Congressional District 3 (109th Congress), Alabama",253407,4064,165208,4136,118309,4116,88199,3756,14.9,1.1,7.6,1.1,3.0,0.7,29.0,2.3,9.6,1.0,6.1,1.1,3.4,0.8,16.6,1.9,14.8,1.1,13.1,1.3,9.8,1.2,19.4,1.9,12.6,1.2,13.0,1.3,11.7,1.5,12.0,1.9,16.0,1.2,18.0,1.6,19.4,1.9,12.4,2.0,15.1,1.0,19.0,1.4,22.4,1.8,6.2,1.4,7.9,0.9,10.8,1.2,13.7,1.6,2.2,0.9,6.3,0.7,8.6,1.1,11.6,1.5,1.8,0.7,1.4,0.3,2.0,0.4,2.8,0.6,0.2,0.2,1.3,0.3,1.8,0.5,2.2,0.5,0.4,0.3,33156,1363,42590,1498,52434,2069,16994,1229,45414,1306,55723,1893,65751,2487,24779,1464,25.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),26.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.6,(X)
5000900US0104,0104,"Congressional District 4 (109th Congress), Alabama",251106,3647,181085,4418,143231,4751,70021,3215,11.7,0.9,6.9,1.0,2.7,0.8,25.8,2.1,9.3,0.9,5.3,1.0,3.6,0.8,20.1,2.2,16.6,1.2,14.7,1.4,12.3,1.3,20.8,2.3,13.9,1.1,13.9,1.3,13.8,1.4,13.9,2.1,16.3,1.2,18.9,1.6,20.1,1.7,8.6,1.7,16.3,1.2,19.8,1.6,23.0,1.8,6.9,1.7,8.6,0.9,11.1,1.2,12.9,1.4,2.0,0.9,5.3,0.6,6.6,0.8,8.1,1.0,1.5,0.7,1.2,0.3,1.5,0.5,1.9,0.6,0.2,0.3,1.0,0.3,1.4,0.4,1.7,0.6,0.1,0.2,33917,1268,41481,1245,47691,1988,16328,884,44751,1369,52008,1531,58497,1835,24875,2321,23.0,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),21.3,(X)
5000900US0105,0105,"Congressional District 5 (109th Congress), Alabama",266529,3859,179238,3972,136909,4083,87291,4258,9.8,0.9,5.9,1.0,2.0,0.6,19.0,1.9,7.0,0.9,5.1,0.9,2.6,0.7,11.9,1.8,14.6,1.3,11.4,1.3,8.4,1.2,22.1,2.7,12.0,1.1,10.6,1.2,9.6,1.4,14.0,2.3,14.8,0.9,14.2,1.1,14.4,1.2,15.0,1.9,17.8,1.2,21.0,1.5,24.0,1.7,10.3,1.9,10.3,0.9,13.5,1.1,16.0,1.4,4.1,1.1,9.2,0.9,12.3,1.2,15.2,1.5,2.7,0.9,2.8,0.4,3.8,0.6,4.8,0.8,0.7,0.5,1.6,0.5,2.3,0.7,2.9,0.9,0.2,0.3,41494,1267,52011,1143,62859,1893,23988,992,55683,2326,66692,3332,77140,4082,31930,1480,22.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.5,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.4,(X)
5000900US0106,0106,"Congressional District 6 (109th Congress), Alabama",272683,4973,191432,4883,157118,5481,81251,4327,6.6,1.1,2.7,0.7,0.9,0.4,16.5,2.8,5.8,0.9,3.4,0.9,1.9,0.7,11.6,1.8,10.2,1.1,6.8,1.1,5.5,1.1,18.7,2.4,10.2,1.0,9.0,1.1,7.3,1.2,13.2,2.2,14.5,1.2,14.1,1.4,12.4,1.2,15.4,2.3,21.0,1.5,23.6,1.7,25.3,1.8,14.3,2.4,12.0,1.0,15.0,1.3,16.7,1.5,5.1,1.0,12.3,1.0,16.1,1.3,18.9,1.5,3.0,0.9,3.5,0.4,4.7,0.6,5.5,0.7,0.9,0.4,3.8,0.5,4.7,0.7,5.5,0.9,1.3,0.7,52302,1753,63140,2039,71518,1986,27286,2511,69821,2126,82136,2803,91054,3205,39657,4001,22.6,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),20.9,(X)
5000900US0107,0107,"Congressional District 7 (109th Congress), Alabama",241452,4407,154759,4842,83969,4067,86693,4755,18.4,1.4,13.2,1.9,3.4,1.7,29.9,2.6,11.6,1.4,9.1,1.5,3.6,0.9,15.7,2.0,16.2,1.4,15.4,1.7,12.5,2.0,17.7,2.1,12.9,1.1,12.8,1.4,13.0,1.7,12.6,2.2,15.1,1.2,17.3,1.5,19.4,2.5,11.2,2.0,13.3,1.1,15.3,1.4,20.9,2.2,8.9,2.2,7.3,1.0,9.5,1.4,15.1,2.2,3.0,1.3,3.9,0.7,5.4,1.0,8.6,1.5,0.9,0.4,0.9,0.3,1.4,0.4,2.3,0.7,0.2,0.3,0.4,0.2,0.6,0.4,1.1,0.7,0.0,0.1,27409,1383,34508,1785,47832,2559,17288,1424,37465,1152,43821,1499,58259,1948,24782,1620,28.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),30.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),23.4,(X)
5000900US0200,0200,"Congressional District (at Large) (109th Congress), Alaska",233252,2012,157187,3442,116353,3601,76065,3726,6.3,0.7,4.1,0.8,1.6,0.5,12.6,1.8,4.4,0.5,2.6,0.5,1.2,0.4,8.8,1.6,9.7,0.9,8.2,1.3,4.7,0.9,14.0,1.8,9.0,0.9,7.5,1.0,5.3,0.9,13.0,1.9,14.0,1.1,13.2,1.3,12.9,1.5,15.6,2.0,21.0,1.3,21.2,1.5,22.4,1.7,19.3,2.2,14.0,1.0,16.7,1.3,18.4,1.5,7.8,1.5,14.5,1.1,17.8,1.4,22.5,1.8,6.0,1.2,4.4,0.6,5.3,0.8,6.6,1.1,2.1,0.8,2.7,0.4,3.4,0.6,4.5,0.7,0.9,0.5,56234,1807,67084,2192,77825,2683,36302,1843,70878,2184,80026,2982,92329,3884,47396,2650,22.9,(X),(X),(X),(X),(X),(X),(X),(X),(X),23.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),19.0,(X)
5000900US0401,0401,"Congressional District 1 (109th Congress), Arizona",252730,3972,174496,3893,131221,4031,78234,4467,11.3,1.1,9.0,1.0,4.9,1.0,18.3,2.5,7.0,1.1,4.3,0.8,3.4,0.9,13.2,2.7,15.6,1.2,13.0,1.3,10.8,1.3,21.5,2.4,13.8,1.2,14.2,1.6,13.0,1.7,12.6,2.1,16.7,1.5,17.2,1.8,17.6,1.9,15.8,2.3,18.5,1.3,21.1,1.6,23.7,1.8,11.8,2.0,9.0,1.0,11.1,1.3,13.9,1.6,3.9,1.2,5.5,0.6,6.8,0.8,8.5,1.1,2.2,0.8,1.2,0.3,1.5,0.4,2.0,0.5,0.5,0.3,1.3,0.3,1.8,0.5,2.2,0.6,0.3,0.3,36555,1099,41678,1344,50252,2187,23821,1175,47319,1594,53436,2019,60968,2551,31782,1460,27.3,(X),(X),(X),(X),(X),(X),(X),(X),(X),28.1,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),24.0,(X)
