GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,"Estimate; Total: - U.S. citizen, born in the United States","Margin of Error; Total: - U.S. citizen, born in the United States","Estimate; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error; Total: - U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate; Total: - U.S. citizen, born abroad of American parent(s)","Margin of Error; Total: - U.S. citizen, born abroad of American parent(s)",Estimate; Total: - U.S. citizen by naturalization,Margin of Error; Total: - U.S. citizen by naturalization,Estimate; Total: - Not a U.S. citizen,Margin of Error; Total: - Not a U.S. citizen
5001300US0101,0101,"Congressional District 1 (113th Congress), Alabama",695176,3377,673345,4654,482,350,3266,1322,8944,1874,9139,2320
5001300US0102,0102,"Congressional District 2 (113th Congress), Alabama",690074,6903,664688,7701,591,349,6481,1047,8068,1288,10246,2058
5001300US0103,0103,"Congressional District 3 (113th Congress), Alabama",697761,3849,670497,4677,1488,945,4584,1304,7896,2096,13296,3018
5001300US0104,0104,"Congressional District 4 (113th Congress), Alabama",685175,4519,653306,4782,853,699,2919,974,5912,1277,22185,2553
5001300US0105,0105,"Congressional District 5 (113th Congress), Alabama",701220,96,660525,3640,1457,799,8820,1863,14195,2262,16223,2835
5001300US0106,0106,"Congressional District 6 (113th Congress), Alabama",697436,7763,660493,8278,1375,922,5224,1513,10731,2058,19613,2694
5001300US0107,0107,"Congressional District 7 (113th Congress), Alabama",666880,9844,648257,9140,324,310,2521,1095,4036,1085,11742,2362
5001300US0200,0200,"Congressional District (at Large) (113th Congress), Alaska",735132,*****,668628,4080,4433,1316,11311,2074,28509,2559,22251,3384
5001300US0401,0401,"Congressional District 1 (113th Congress), Arizona",723969,6870,672506,7186,728,398,5994,1414,16779,2336,27962,3917
5001300US0402,0402,"Congressional District 2 (113th Congress), Arizona",717970,11223,623096,11477,1757,698,12106,1978,37307,3359,43704,5669
5001300US0403,0403,"Congressional District 3 (113th Congress), Arizona",722963,16160,558752,14716,2185,1018,7185,1425,61598,4656,93243,6279
5001300US0404,0404,"Congressional District 4 (113th Congress), Arizona",732689,9636,662000,10397,1177,615,4404,1098,26437,3532,38671,4353
5001300US0405,0405,"Congressional District 5 (113th Congress), Arizona",759102,11019,672296,11358,1275,659,7362,1889,41107,3961,37062,4938
5001300US0406,0406,"Congressional District 6 (113th Congress), Arizona",737884,17460,632697,15599,1658,769,8042,1804,42753,4465,52734,6584
5001300US0407,0407,"Congressional District 7 (113th Congress), Arizona",749222,17386,544529,14761,1410,912,4703,985,45018,3849,153562,9064
5001300US0408,0408,"Congressional District 8 (113th Congress), Arizona",741374,10509,659771,11664,2038,913,8027,1629,36283,4049,35255,4976
5001300US0409,0409,"Congressional District 9 (113th Congress), Arizona",741451,15560,623937,15499,1935,793,8744,1604,34983,3545,71852,7058
5001300US0501,0501,"Congressional District 1 (113th Congress), Arkansas",729971,3136,710999,4153,252,205,4267,1277,6323,1343,8130,1631
5001300US0502,0502,"Congressional District 2 (113th Congress), Arkansas",751463,2034,716283,3996,1540,997,4520,1429,9384,2141,19736,3582
5001300US0503,0503,"Congressional District 3 (113th Congress), Arkansas",757765,3901,682286,6072,1122,983,5278,1437,20820,2846,48259,3908
5001300US0504,0504,"Congressional District 4 (113th Congress), Arkansas",720174,4676,695154,5020,185,199,3599,1062,7150,1649,14086,1950
5001300US0601,0601,"Congressional District 1 (113th Congress), California",707992,5833,655306,6786,420,242,4647,1217,24475,2918,23144,2731
5001300US0602,0602,"Congressional District 2 (113th Congress), California",713816,5790,609522,6914,553,319,8289,1546,46726,3659,48726,4705
5001300US0603,0603,"Congressional District 3 (113th Congress), California",714407,5510,567832,8001,2456,798,9973,1731,61375,4665,72771,5350
5001300US0604,0604,"Congressional District 4 (113th Congress), California",703377,7307,632856,8049,875,481,6903,1485,35413,3528,27330,3879
5001300US0605,0605,"Congressional District 5 (113th Congress), California",715332,7779,559480,8233,942,374,8283,1284,77440,5203,69187,5847
5001300US0606,0606,"Congressional District 6 (113th Congress), California",729428,9484,548368,10865,1213,713,7741,1567,88296,5508,83810,6088
5001300US0607,0607,"Congressional District 7 (113th Congress), California",721042,9151,577937,10290,1835,842,9459,1494,82863,5587,48948,5466
5001300US0608,0608,"Congressional District 8 (113th Congress), California",709384,8525,613671,9065,2752,1314,6426,1677,39581,4247,46954,5449
5001300US0609,0609,"Congressional District 9 (113th Congress), California",724907,7211,550713,8857,1448,995,6069,1461,73475,5576,93202,6334
5001300US0610,0610,"Congressional District 10 (113th Congress), California",722266,4652,573371,6997,1136,662,7500,2059,63152,5133,77107,5872
5001300US0611,0611,"Congressional District 11 (113th Congress), California",733916,7242,541889,9069,3009,1485,10293,1950,85441,5216,93284,6439
5001300US0612,0612,"Congressional District 12 (113th Congress), California",734662,7156,468170,8676,2908,1068,15266,2365,148976,6660,99342,6646
5001300US0613,0613,"Congressional District 13 (113th Congress), California",732753,4187,526003,7915,997,484,9046,1496,92642,6178,104065,6452
5001300US0614,0614,"Congressional District 14 (113th Congress), California",721245,10228,443428,10391,1964,907,11337,2043,159783,6215,104733,6815
5001300US0615,0615,"Congressional District 15 (113th Congress), California",734837,7732,484651,9053,1223,663,8078,1471,134039,6537,106846,6766
5001300US0616,0616,"Congressional District 16 (113th Congress), California",715257,10821,534026,11389,1268,751,5702,1675,60631,4752,113630,7505
5001300US0617,0617,"Congressional District 17 (113th Congress), California",732118,9114,382876,8391,1377,531,10103,1698,183578,7620,154184,7704
5001300US0618,0618,"Congressional District 18 (113th Congress), California",731201,12164,517254,10280,683,447,11732,1949,107298,6161,94234,7170
5001300US0619,0619,"Congressional District 19 (113th Congress), California",746071,11264,459435,8380,1032,557,8205,1597,152650,7013,124749,9369
5001300US0620,0620,"Congressional District 20 (113th Congress), California",725199,4764,531606,8326,815,535,7178,1276,59004,4603,126596,7627
5001300US0621,0621,"Congressional District 21 (113th Congress), California",711414,12496,495381,11161,2370,1268,4711,1297,49348,3970,159604,8781
5001300US0622,0622,"Congressional District 22 (113th Congress), California",730271,12714,588365,11313,889,679,5707,2241,58836,4921,76474,5726
5001300US0623,0623,"Congressional District 23 (113th Congress), California",726292,13137,617750,12591,660,436,6175,1563,42609,4330,59098,6484
5001300US0624,0624,"Congressional District 24 (113th Congress), California",722008,1925,580059,6597,835,605,7972,1533,48022,4204,85120,5974
5001300US0625,0625,"Congressional District 25 (113th Congress), California",716815,10516,561402,9934,929,420,5692,1325,81680,5764,67112,5587
