GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
5001400US0101,0101,"Congressional District 1 (114th Congress), Alabama",706302,3748,473687,3153,199899,4230,7886,1532,9026,839,0,192,5544,2537,10260,2886,1417,1174,8843,2354
5001400US0102,0102,"Congressional District 2 (114th Congress), Alabama",686622,5941,441581,3990,218038,5168,1703,590,6761,1589,366,334,4632,1827,13541,1837,915,475,12626,1870
5001400US0103,0103,"Congressional District 3 (114th Congress), Alabama",703986,4752,492729,4404,177845,4093,1668,585,10796,1349,92,118,5562,2343,15294,2969,953,610,14341,2859
5001400US0104,0104,"Congressional District 4 (114th Congress), Alabama",684685,5017,604514,5767,49609,2754,3306,1593,2811,1073,2474,2445,8991,2916,12980,1904,919,600,12061,1921
5001400US0105,0105,"Congressional District 5 (114th Congress), Alabama",708972,537,544834,1973,124221,2493,3480,1167,11724,1222,373,400,5353,1701,18987,3074,1270,918,17717,2877
5001400US0106,0106,"Congressional District 6 (114th Congress), Alabama",700691,6893,553281,6195,108872,6418,1500,668,13495,1714,140,151,13235,3175,10168,2286,408,325,9760,2269
5001400US0107,0107,"Congressional District 7 (114th Congress), Alabama",667721,9986,219287,7443,424814,8425,960,565,4780,1534,1003,1198,10788,2713,6089,1668,472,432,5617,1647
5001400US0200,0200,"Congressional District (at Large) (114th Congress), Alaska",738432,*****,481314,3176,26176,1808,101133,3272,47295,2541,6762,1818,12467,3116,63285,4721,3171,1450,60114,4492
5001400US0401,0401,"Congressional District 1 (114th Congress), Arizona",759663,9887,482745,10280,18895,2389,177468,3863,13280,2509,740,368,40617,6623,25918,3501,5146,1614,20772,3144
5001400US0402,0402,"Congressional District 2 (114th Congress), Arizona",713631,12111,586472,12954,29653,3261,6702,1689,21997,2212,1568,720,40279,6573,26960,3323,3797,1419,23163,3101
5001400US0403,0403,"Congressional District 3 (114th Congress), Arizona",761488,16305,532826,16889,36979,5568,36670,4457,13263,2254,510,404,117429,10193,23811,3184,7158,1809,16653,2528
5001400US0404,0404,"Congressional District 4 (114th Congress), Arizona",739374,10902,659430,10536,11929,2161,13739,3533,8586,1670,561,372,23812,5040,21317,3553,3966,1965,17351,3173
5001400US0405,0405,"Congressional District 5 (114th Congress), Arizona",789400,12531,668216,14800,25701,4767,10969,3954,40669,4802,2311,1136,18361,3152,23173,3469,3581,1318,19592,3204
5001400US0406,0406,"Congressional District 6 (114th Congress), Arizona",749808,15258,629176,15569,23954,4773,13657,3367,37552,5092,719,661,23714,5062,21036,3832,2167,822,18869,3871
5001400US0407,0407,"Congressional District 7 (114th Congress), Arizona",769597,16284,472986,15020,78582,8278,22541,3671,17073,3499,1784,1122,151594,12444,25037,3493,10309,2623,14728,2406
5001400US0408,0408,"Congressional District 8 (114th Congress), Arizona",767981,10932,654192,13974,36894,6744,5643,1893,26621,4259,1358,816,18307,4705,24966,3674,3945,1558,21021,3031
5001400US0409,0409,"Congressional District 9 (114th Congress), Arizona",777123,13841,599951,14152,38098,4738,21080,5378,38515,3713,1733,998,47518,6520,30228,4682,5182,1857,25046,4127
