GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median monthly housing costs,Margin of Error; Median monthly housing costs
5001400US0101,0101,"Congressional District 1 (114th Congress), Alabama",774,24
5001400US0102,0102,"Congressional District 2 (114th Congress), Alabama",701,15
5001400US0103,0103,"Congressional District 3 (114th Congress), Alabama",687,19
5001400US0104,0104,"Congressional District 4 (114th Congress), Alabama",582,15
5001400US0105,0105,"Congressional District 5 (114th Congress), Alabama",746,17
5001400US0106,0106,"Congressional District 6 (114th Congress), Alabama",932,19
5001400US0107,0107,"Congressional District 7 (114th Congress), Alabama",707,17
5001400US0200,0200,"Congressional District (at Large) (114th Congress), Alaska",1251,27
5001400US0401,0401,"Congressional District 1 (114th Congress), Arizona",780,21
5001400US0402,0402,"Congressional District 2 (114th Congress), Arizona",848,15
5001400US0403,0403,"Congressional District 3 (114th Congress), Arizona",887,20
5001400US0404,0404,"Congressional District 4 (114th Congress), Arizona",792,23
5001400US0405,0405,"Congressional District 5 (114th Congress), Arizona",1192,21
5001400US0406,0406,"Congressional District 6 (114th Congress), Arizona",1144,19
5001400US0407,0407,"Congressional District 7 (114th Congress), Arizona",852,15
5001400US0408,0408,"Congressional District 8 (114th Congress), Arizona",1081,17
5001400US0409,0409,"Congressional District 9 (114th Congress), Arizona",980,14
5001400US0501,0501,"Congressional District 1 (114th Congress), Arkansas",610,14
5001400US0502,0502,"Congressional District 2 (114th Congress), Arkansas",803,15
5001400US0503,0503,"Congressional District 3 (114th Congress), Arkansas",750,14
5001400US0504,0504,"Congressional District 4 (114th Congress), Arkansas",572,13
5001400US0601,0601,"Congressional District 1 (114th Congress), California",958,22
5001400US0602,0602,"Congressional District 2 (114th Congress), California",1417,32
5001400US0603,0603,"Congressional District 3 (114th Congress), California",1225,27
5001400US0604,0604,"Congressional District 4 (114th Congress), California",1372,42
5001400US0605,0605,"Congressional District 5 (114th Congress), California",1454,30
5001400US0606,0606,"Congressional District 6 (114th Congress), California",1099,20
5001400US0607,0607,"Congressional District 7 (114th Congress), California",1349,32
5001400US0608,0608,"Congressional District 8 (114th Congress), California",1010,24
5001400US0609,0609,"Congressional District 9 (114th Congress), California",1246,31
5001400US0610,0610,"Congressional District 10 (114th Congress), California",1187,25
5001400US0611,0611,"Congressional District 11 (114th Congress), California",1646,30
5001400US0612,0612,"Congressional District 12 (114th Congress), California",1818,54
5001400US0613,0613,"Congressional District 13 (114th Congress), California",1508,36
5001400US0614,0614,"Congressional District 14 (114th Congress), California",2102,42
5001400US0615,0615,"Congressional District 15 (114th Congress), California",1990,40
5001400US0616,0616,"Congressional District 16 (114th Congress), California",914,18
5001400US0617,0617,"Congressional District 17 (114th Congress), California",2145,29
5001400US0618,0618,"Congressional District 18 (114th Congress), California",2210,51
5001400US0619,0619,"Congressional District 19 (114th Congress), California",1891,37
5001400US0620,0620,"Congressional District 20 (114th Congress), California",1424,28
5001400US0621,0621,"Congressional District 21 (114th Congress), California",875,18
5001400US0622,0622,"Congressional District 22 (114th Congress), California",1075,22
5001400US0623,0623,"Congressional District 23 (114th Congress), California",1096,31
5001400US0624,0624,"Congressional District 24 (114th Congress), California",1440,33
5001400US0625,0625,"Congressional District 25 (114th Congress), California",1622,32
5001400US0626,0626,"Congressional District 26 (114th Congress), California",1711,36
5001400US0627,0627,"Congressional District 27 (114th Congress), California",1497,34
5001400US0628,0628,"Congressional District 28 (114th Congress), California",1479,24
5001400US0629,0629,"Congressional District 29 (114th Congress), California",1341,25
5001400US0630,0630,"Congressional District 30 (114th Congress), California",1781,38
5001400US0631,0631,"Congressional District 31 (114th Congress), California",1264,31
5001400US0632,0632,"Congressional District 32 (114th Congress), California",1415,24
5001400US0633,0633,"Congressional District 33 (114th Congress), California",2140,41
5001400US0634,0634,"Congressional District 34 (114th Congress), California",1110,18
5001400US0635,0635,"Congressional District 35 (114th Congress), California",1345,26
5001400US0636,0636,"Congressional District 36 (114th Congress), California",1043,25
5001400US0637,0637,"Congressional District 37 (114th Congress), California",1435,31
5001400US0638,0638,"Congressional District 38 (114th Congress), California",1445,28
5001400US0639,0639,"Congressional District 39 (114th Congress), California",1721,33
5001400US0640,0640,"Congressional District 40 (114th Congress), California",1145,19
5001400US0641,0641,"Congressional District 41 (114th Congress), California",1314,25
5001400US0642,0642,"Congressional District 42 (114th Congress), California",1704,35
5001400US0643,0643,"Congressional District 43 (114th Congress), California",1340,28
5001400US0644,0644,"Congressional District 44 (114th Congress), California",1211,25
