GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Native,Margin of Error; Total: - Native,Estimate; Total: - Foreign-Born,Margin of Error; Total: - Foreign-Born
5001100US0101,0101,"Congressional District 1 (111th Congress), Alabama",677124,737,656822,1492,20302,1272
5001100US0102,0102,"Congressional District 2 (111th Congress), Alabama",666019,1976,648502,2414,17517,1047
5001100US0103,0103,"Congressional District 3 (111th Congress), Alabama",671363,1971,652649,2227,18714,941
5001100US0104,0104,"Congressional District 4 (111th Congress), Alabama",656059,1221,631907,1342,24152,796
5001100US0105,0105,"Congressional District 5 (111th Congress), Alabama",699978,967,670316,1477,29662,1103
5001100US0106,0106,"Congressional District 6 (111th Congress), Alabama",732630,2429,700764,2645,31866,1504
5001100US0107,0107,"Congressional District 7 (111th Congress), Alabama",609478,2704,593756,2643,15722,1153
5001100US0200,0200,"Congressional District (at Large) (111th Congress), Alaska",691189,*****,641427,1708,49762,1708
5001100US0401,0401,"Congressional District 1 (111th Congress), Arizona",747702,2193,697908,2704,49794,1946
5001100US0402,0402,"Congressional District 2 (111th Congress), Arizona",938691,3449,849311,4173,89380,3376
5001100US0403,0403,"Congressional District 3 (111th Congress), Arizona",708717,4907,607121,4958,101596,3380
5001100US0404,0404,"Congressional District 4 (111th Congress), Arizona",693056,5744,483611,5200,209445,4299
5001100US0405,0405,"Congressional District 5 (111th Congress), Arizona",662452,2947,576863,3758,85589,2760
5001100US0406,0406,"Congressional District 6 (111th Congress), Arizona",931574,3562,829383,3921,102191,2723
5001100US0407,0407,"Congressional District 7 (111th Congress), Arizona",827686,4824,653273,4784,174413,3161
5001100US0408,0408,"Congressional District 8 (111th Congress), Arizona",736938,3931,664721,3984,72217,2671
5001100US0501,0501,"Congressional District 1 (111th Congress), Arkansas",683062,*****,671871,757,11191,757
5001100US0502,0502,"Congressional District 2 (111th Congress), Arkansas",733457,*****,701962,1250,31495,1250
5001100US0503,0503,"Congressional District 3 (111th Congress), Arkansas",799905,*****,738024,1246,61881,1246
5001100US0504,0504,"Congressional District 4 (111th Congress), Arkansas",656260,*****,638381,797,17879,797
5001100US0601,0601,"Congressional District 1 (111th Congress), California",694789,1981,591483,3080,103306,2762
5001100US0602,0602,"Congressional District 2 (111th Congress), California",702992,1985,627249,2135,75743,1716
5001100US0603,0603,"Congressional District 3 (111th Congress), California",768243,3253,649411,3765,118832,2890
5001100US0604,0604,"Congressional District 4 (111th Congress), California",760078,1463,696432,2441,63646,1915
5001100US0605,0605,"Congressional District 5 (111th Congress), California",691447,3112,533790,3882,157657,3335
5001100US0606,0606,"Congressional District 6 (111th Congress), California",651689,1160,537152,2652,114537,2503
5001100US0607,0607,"Congressional District 7 (111th Congress), California",650971,1898,487152,2995,163819,2910
5001100US0608,0608,"Congressional District 8 (111th Congress), California",648162,2505,418004,3650,230158,3586
5001100US0609,0609,"Congressional District 9 (111th Congress), California",638175,1291,468245,3103,169930,3061
5001100US0610,0610,"Congressional District 10 (111th Congress), California",695701,2262,549955,3782,145746,3645
5001100US0611,0611,"Congressional District 11 (111th Congress), California",775046,4155,621569,5194,153477,3419
5001100US0612,0612,"Congressional District 12 (111th Congress), California",643421,2677,413023,3738,230398,3992
5001100US0613,0613,"Congressional District 13 (111th Congress), California",652485,1410,404158,2993,248327,2692
