GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC01_EST_VC16,HC01_MOE_VC16,HC02_EST_VC16,HC02_MOE_VC16,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC01_EST_VC18,HC01_MOE_VC18,HC02_EST_VC18,HC02_MOE_VC18,HC01_EST_VC19,HC01_MOE_VC19,HC02_EST_VC19,HC02_MOE_VC19,HC01_EST_VC23,HC01_MOE_VC23,HC02_EST_VC23,HC02_MOE_VC23,HC01_EST_VC24,HC01_MOE_VC24,HC02_EST_VC24,HC02_MOE_VC24,HC01_EST_VC25,HC01_MOE_VC25,HC02_EST_VC25,HC02_MOE_VC25,HC01_EST_VC26,HC01_MOE_VC26,HC02_EST_VC26,HC02_MOE_VC26,HC01_EST_VC27,HC01_MOE_VC27,HC02_EST_VC27,HC02_MOE_VC27,HC01_EST_VC28,HC01_MOE_VC28,HC02_EST_VC28,HC02_MOE_VC28,HC01_EST_VC32,HC01_MOE_VC32,HC02_EST_VC32,HC02_MOE_VC32,HC01_EST_VC33,HC01_MOE_VC33,HC02_EST_VC33,HC02_MOE_VC33,HC01_EST_VC34,HC01_MOE_VC34,HC02_EST_VC34,HC02_MOE_VC34,HC01_EST_VC35,HC01_MOE_VC35,HC02_EST_VC35,HC02_MOE_VC35,HC01_EST_VC36,HC01_MOE_VC36,HC02_EST_VC36,HC02_MOE_VC36,HC01_EST_VC37,HC01_MOE_VC37,HC02_EST_VC37,HC02_MOE_VC37,HC01_EST_VC38,HC01_MOE_VC38,HC02_EST_VC38,HC02_MOE_VC38,HC01_EST_VC41,HC01_MOE_VC41,HC02_EST_VC41,HC02_MOE_VC41,HC01_EST_VC42,HC01_MOE_VC42,HC02_EST_VC42,HC02_MOE_VC42,HC01_EST_VC43,HC01_MOE_VC43,HC02_EST_VC43,HC02_MOE_VC43
Id,Id2,Geography,Total; Estimate; Households,Total; Margin of Error; Households,Median income (dollars); Estimate; Households,Median income (dollars); Margin of Error; Households,Total; Estimate; One race-- - White,Total; Margin of Error; One race-- - White,Median income (dollars); Estimate; One race-- - White,Median income (dollars); Margin of Error; One race-- - White,Total; Estimate; One race-- - Black or African American,Total; Margin of Error; One race-- - Black or African American,Median income (dollars); Estimate; One race-- - Black or African American,Median income (dollars); Margin of Error; One race-- - Black or African American,Total; Estimate; One race-- - American Indian and Alaska Native,Total; Margin of Error; One race-- - American Indian and Alaska Native,Median income (dollars); Estimate; One race-- - American Indian and Alaska Native,Median income (dollars); Margin of Error; One race-- - American Indian and Alaska Native,Total; Estimate; One race-- - Asian,Total; Margin of Error; One race-- - Asian,Median income (dollars); Estimate; One race-- - Asian,Median income (dollars); Margin of Error; One race-- - Asian,Total; Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Total; Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Estimate; One race-- - Native Hawaiian and Other Pacific Islander,Median income (dollars); Margin of Error; One race-- - Native Hawaiian and Other Pacific Islander,Total; Estimate; One race-- - Some other race,Total; Margin of Error; One race-- - Some other race,Median income (dollars); Estimate; One race-- - Some other race,Median income (dollars); Margin of Error; One race-- - Some other race,Total; Estimate; Two or more races,Total; Margin of Error; Two or more races,Median income (dollars); Estimate; Two or more races,Median income (dollars); Margin of Error; Two or more races,Total; Estimate; Hispanic or Latino origin (of any race),Total; Margin of Error; Hispanic or Latino origin (of any race),Median income (dollars); Estimate; Hispanic or Latino origin (of any race),Median income (dollars); Margin of Error; Hispanic or Latino origin (of any race),"Total; Estimate; White alone, not Hispanic or Latino","Total; Margin of Error; White alone, not Hispanic or Latino","Median income (dollars); Estimate; White alone, not Hispanic or Latino","Median income (dollars); Margin of Error; White alone, not Hispanic or Latino",Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 15 to 24 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 25 to 44 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 45 to 64 years,Total; Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Estimate; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Median income (dollars); Margin of Error; HOUSEHOLD INCOME BY AGE OF HOUSEHOLDER - 65 years and over,Total; Estimate; FAMILIES - Families,Total; Margin of Error; FAMILIES - Families,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Margin of Error; FAMILIES - Families,Total; Estimate; FAMILIES - Families - With own children under 18 years,Total; Margin of Error; FAMILIES - Families - With own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With own children under 18 years,Total; Estimate; FAMILIES - Families - With no own children under 18 years,Total; Margin of Error; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Estimate; FAMILIES - Families - With no own children under 18 years,Median income (dollars); Margin of Error; FAMILIES - Families - With no own children under 18 years,Total; Estimate; FAMILIES - Married-couple families,Total; Margin of Error; FAMILIES - Married-couple families,Median income (dollars); Estimate; FAMILIES - Married-couple families,Median income (dollars); Margin of Error; FAMILIES - Married-couple families,"Total; Estimate; FAMILIES - Female householder, no husband present","Total; Margin of Error; FAMILIES - Female householder, no husband present","Median income (dollars); Estimate; FAMILIES - Female householder, no husband present","Median income (dollars); Margin of Error; FAMILIES - Female householder, no husband present","Total; Estimate; FAMILIES - Male householder, no wife present","Total; Margin of Error; FAMILIES - Male householder, no wife present","Median income (dollars); Estimate; FAMILIES - Male householder, no wife present","Median income (dollars); Margin of Error; FAMILIES - Male householder, no wife present",Total; Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Nonfamily households,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Female householder - Not living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Living alone,Total; Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Median income (dollars); Margin of Error; NONFAMILY HOUSEHOLDS - Male householder - Not living alone,Total; Estimate; PERCENT IMPUTED - Household income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Household income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Household income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Family income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Family income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Family income in the past 12 months,Total; Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Total; Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Estimate; PERCENT IMPUTED - Nonfamily income in the past 12 months,Median income (dollars); Margin of Error; PERCENT IMPUTED - Nonfamily income in the past 12 months
5001100US0101,0101,"Congressional District 1 (111th Congress), Alabama",257363,1918,42333,502,70.7,0.4,49963,722,25.5,0.4,25953,909,1.1,0.1,30578,2523,1.0,0.1,42185,10614,0.0,0.1,9442,9781,0.6,0.1,26786,10058,1.0,0.1,39893,9334,1.7,0.1,33381,3656,69.6,0.4,50219,679,4.2,0.3,21658,1554,32.6,0.4,46367,1288,39.9,0.4,50938,748,23.4,0.3,31197,814,178461,2043,51514,590,43.1,0.7,47714,1435,56.9,0.7,53959,889,72.0,0.6,62954,1013,22.2,0.6,22681,970,5.9,0.4,40169,3322,78902,1633,23911,757,54.3,1.0,20330,701,49.1,1.0,18493,699,5.2,0.6,49500,7519,45.7,1.0,30553,1147,37.7,1.1,26791,1709,8.0,0.7,44731,5705,25.8,(X),(X),(X),26.9,(X),(X),(X),22.5,(X),(X),(X)
5001100US0102,0102,"Congressional District 2 (111th Congress), Alabama",255597,1726,40626,579,68.6,0.4,48117,882,28.7,0.4,26251,607,0.3,0.1,36008,10051,0.8,0.1,49003,3793,0.0,0.1,42045,28149,0.6,0.1,36038,8449,0.9,0.1,37955,6544,1.9,0.1,35816,3673,67.4,0.4,48407,886,5.0,0.3,21266,1630,33.6,0.4,45540,921,38.6,0.4,48879,1074,22.8,0.3,29434,716,174478,1906,51130,687,43.8,0.6,47720,1252,56.2,0.6,53479,984,70.1,0.7,64406,777,23.5,0.6,23321,887,6.4,0.4,37027,3103,81119,1457,22689,698,55.3,1.1,19167,590,50.3,1.1,17944,588,4.9,0.6,36654,3545,44.7,1.1,28754,1656,37.8,1.1,26403,802,6.9,0.6,45650,3478,29.3,(X),(X),(X),30.0,(X),(X),(X),26.7,(X),(X),(X)
5001100US0103,0103,"Congressional District 3 (111th Congress), Alabama",262462,1877,38260,499,66.8,0.4,44146,710,30.2,0.3,26634,695,0.4,0.1,38125,6825,1.1,0.1,47067,5815,0.0,0.1,22105,50999,0.5,0.1,44084,11492,1.0,0.1,23360,4094,1.8,0.1,35494,2931,65.6,0.4,44397,721,7.2,0.3,17874,1400,33.0,0.4,43502,1028,38.1,0.4,46219,1011,21.7,0.3,27115,644,174178,1955,48876,865,42.3,0.7,46576,1746,57.7,0.7,50164,945,69.9,0.7,61660,870,23.4,0.7,21840,679,6.7,0.4,36256,1555,88284,1852,20488,625,53.8,1.0,17005,598,47.4,1.0,15849,623,6.3,0.5,32740,3861,46.2,1.0,25360,1032,37.8,1.0,22653,1102,8.4,0.5,39419,3732,26.9,(X),(X),(X),27.9,(X),(X),(X),23.7,(X),(X),(X)
5001100US0104,0104,"Congressional District 4 (111th Congress), Alabama",253993,1863,37889,561,92.3,0.2,39206,598,5.1,0.2,21605,1235,0.6,0.1,27454,5708,0.3,0.1,53510,21597,0.1,0.1,16250,6956,0.6,0.1,33248,2438,1.0,0.1,34011,4261,3.2,0.2,29997,2033,90.0,0.3,39587,619,3.5,0.3,25557,2045,31.4,0.4,42994,1371,39.6,0.4,46041,1282,25.5,0.3,25831,609,182014,2044,46765,871,40.5,0.5,45941,1393,59.5,0.5,47323,967,76.8,0.7,54805,935,16.7,0.5,22307,1049,6.5,0.4,36420,2136,71979,1558,18631,482,55.8,1.2,15550,493,52.0,1.3,14916,413,3.8,0.6,28609,3398,44.2,1.2,24283,1018,38.2,1.2,22672,1021,6.0,0.7,33833,1669,26.5,(X),(X),(X),27.0,(X),(X),(X),24.4,(X),(X),(X)
5001100US0105,0105,"Congressional District 5 (111th Congress), Alabama",276654,1586,46786,623,79.0,0.3,50667,679,16.8,0.3,31926,1087,0.8,0.1,46264,4697,1.2,0.1,70731,7911,0.1,0.1,89091,30940,0.7,0.1,39380,6908,1.5,0.1,37091,7201,2.7,0.1,38416,3112,77.2,0.3,50943,697,5.0,0.3,21248,1488,33.8,0.3,50906,1157,39.1,0.3,58734,1297,22.1,0.3,33244,820,188723,1549,58778,950,42.9,0.6,57182,1760,57.1,0.6,59592,1046,76.6,0.6,70643,864,17.7,0.5,25781,1026,5.7,0.4,37747,2375,87931,1539,25847,640,53.8,1.0,21399,804,49.5,1.1,20422,810,4.2,0.5,40482,4840,46.2,1.0,32230,1192,38.2,1.0,30179,1275,8.0,0.7,45143,5008,28.6,(X),(X),(X),28.6,(X),(X),(X),27.9,(X),(X),(X)
5001100US0106,0106,"Congressional District 6 (111th Congress), Alabama",283127,1638,57797,844,86.3,0.3,60354,684,10.6,0.3,45211,2104,0.2,0.1,49357,9887,1.3,0.1,68375,14692,0.0,0.1,-,**,0.8,0.1,32525,5232,0.8,0.1,45464,7534,2.5,0.2,44384,3927,84.7,0.3,60638,675,3.9,0.3,29417,2212,36.4,0.4,64079,1459,39.2,0.4,70457,1162,20.5,0.3,35676,729,198470,1856,71541,866,44.8,0.5,72746,1528,55.2,0.5,70565,1289,80.5,0.7,81570,935,14.6,0.6,35440,1162,4.9,0.4,46203,2869,84657,1933,33383,994,57.9,1.1,28997,1298,51.8,1.1,26663,1227,6.0,0.6,57374,4724,42.1,1.1,40562,1201,34.7,1.1,36638,1197,7.4,0.7,59776,4278,23.1,(X),(X),(X),23.4,(X),(X),(X),21.5,(X),(X),(X)
5001100US0107,0107,"Congressional District 7 (111th Congress), Alabama",232014,2160,31875,423,36.6,0.4,43502,829,61.5,0.4,26177,647,0.2,0.1,28625,19279,0.6,0.1,35536,9594,0.0,0.1,-,**,0.6,0.1,37639,6762,0.5,0.1,28274,13702,1.7,0.1,35407,5105,35.6,0.4,43909,851,6.8,0.4,15899,935,33.0,0.5,35862,928,38.4,0.5,38365,1197,21.8,0.3,24044,609,144179,2044,41479,761,43.6,0.8,34834,1151,56.4,0.8,46352,966,55.4,0.9,59379,1106,36.8,0.8,22784,754,7.9,0.5,33371,1660,87835,1900,18884,631,56.2,1.0,16547,570,49.5,1.1,15506,589,6.6,0.6,26529,4106,43.8,1.0,22050,877,36.4,0.9,20435,884,7.4,0.7,35850,3834,28.7,(X),(X),(X),30.4,(X),(X),(X),24.6,(X),(X),(X)
5001100US0200,0200,"Congressional District (at Large) (111th Congress), Alaska",248248,1590,66521,642,75.2,0.4,72955,858,3.3,0.2,55063,4772,11.5,0.3,42582,1321,3.6,0.2,64752,3481,0.5,0.1,58291,10367,1.2,0.1,53983,5701,4.7,0.3,52943,3425,4.0,0.2,57006,2461,73.0,0.4,73279,885,6.6,0.3,40863,1443,37.3,0.4,67966,1193,43.7,0.4,78610,1226,12.4,0.2,45414,1589,168684,1846,77886,1027,50.9,0.6,71363,1356,49.1,0.6,85337,1300,74.8,0.7,90821,930,16.4,0.5,35791,1724,8.7,0.4,54416,2194,79564,1479,42502,1002,44.9,0.9,39028,1192,34.8,0.9,32715,1218,10.2,0.8,67163,3268,55.1,0.9,45808,1753,41.5,1.0,39747,1564,13.6,0.9,72540,4989,22.4,(X),(X),(X),23.2,(X),(X),(X),18.5,(X),(X),(X)
5001100US0401,0401,"Congressional District 1 (111th Congress), Arizona",265832,2427,42336,559,77.9,0.4,45060,820,1.1,0.1,42386,3968,13.8,0.3,27741,1294,0.8,0.1,41076,12730,0.1,0.1,53393,20685,5.1,0.3,40218,2858,1.3,0.2,45000,10692,13.9,0.3,38024,1397,69.7,0.4,46455,930,4.8,0.3,25318,2610,26.5,0.4,46058,1472,41.6,0.5,50566,927,27.1,0.4,33316,710,179560,2682,50631,797,38.3,0.8,46183,1571,61.7,0.8,53177,1049,73.9,0.7,59108,1248,18.8,0.6,27321,1134,7.3,0.4,39249,2327,86272,2094,25804,999,51.2,1.0,22860,1205,43.0,1.0,20694,910,8.2,0.7,41760,3622,48.8,1.0,29800,1728,38.4,1.1,24983,1465,10.4,0.8,45728,4826,27.8,(X),(X),(X),29.0,(X),(X),(X),23.8,(X),(X),(X)
