year,district,black_pop,total_pop,white_pop
2007,"Congressional District 1 (110th Congress), Alabama",186061,668063,455452
2007,"Congressional District 2 (110th Congress), Alabama",199341,648830,430659
2007,"Congressional District 3 (110th Congress), Alabama",212959,660448,425264
2007,"Congressional District 4 (110th Congress), Alabama",31072,647685,593727
2007,"Congressional District 5 (110th Congress), Alabama",120620,679540,524916
2007,"Congressional District 6 (110th Congress), Alabama",81502,724660,617344
2007,"Congressional District 7 (110th Congress), Alabama",380563,598625,206745
2007,"Congressional District (at Large) (110th Congress), Alaska",25821,683478,465234
2007,"Congressional District 1 (110th Congress), Arizona",9604,733756,491213
2007,"Congressional District 2 (110th Congress), Arizona",31349,939215,773696
2007,"Congressional District 3 (110th Congress), Arizona",21814,729373,596303
2007,"Congressional District 4 (110th Congress), Arizona",55919,742212,504439
2007,"Congressional District 5 (110th Congress), Arizona",26122,682514,572332
2007,"Congressional District 6 (110th Congress), Arizona",26125,951648,802025
2007,"Congressional District 7 (110th Congress), Arizona",28073,820091,502501
2007,"Congressional District 8 (110th Congress), Arizona",25985,739946,599481
2007,"Congressional District 1 (110th Congress), Arkansas",111976,670425,540687
2007,"Congressional District 2 (110th Congress), Arkansas",152074,722414,545610
2007,"Congressional District 3 (110th Congress), Arkansas",17616,782997,672495
2007,"Congressional District 4 (110th Congress), Arkansas",160613,658961,467966
2007,"Congressional District 1 (110th Congress), California",11713,685939,549613
2007,"Congressional District 2 (110th Congress), California",8306,705942,571800
2007,"Congressional District 3 (110th Congress), California",49302,785534,564316
2007,"Congressional District 4 (110th Congress), California",12166,751490,643354
2007,"Congressional District 5 (110th Congress), California",91766,670659,353881
2007,"Congressional District 6 (110th Congress), California",12766,640657,508354
2007,"Congressional District 7 (110th Congress), California",90676,638788,322280
2007,"Congressional District 8 (110th Congress), California",48721,621146,347062
2007,"Congressional District 9 (110th Congress), California",133009,602398,300090
2007,"Congressional District 10 (110th Congress), California",60730,700893,447021
2007,"Congressional District 11 (110th Congress), California",41845,768422,497971
2007,"Congressional District 12 (110th Congress), California",11434,657046,357744
2007,"Congressional District 13 (110th Congress), California",48967,672300,276546
2007,"Congressional District 14 (110th Congress), California",20849,638852,429523
2007,"Congressional District 15 (110th Congress), California",15731,658077,335037
2007,"Congressional District 16 (110th Congress), California",19931,671218,348805
2007,"Congressional District 17 (110th Congress), California",14667,645090,430384
2007,"Congressional District 18 (110th Congress), California",37249,714167,382638
2007,"Congressional District 19 (110th Congress), California",30758,740924,550897
2007,"Congressional District 20 (110th Congress), California",42546,703522,384599
2007,"Congressional District 21 (110th Congress), California",16786,748480,541771
2007,"Congressional District 22 (110th Congress), California",52682,766963,527362
2007,"Congressional District 23 (110th Congress), California",11824,651039,456702
2007,"Congressional District 24 (110th Congress), California",9800,683094,491716
2007,"Congressional District 25 (110th Congress), California",76052,782014,461477
2007,"Congressional District 26 (110th Congress), California",27355,691330,394516
2007,"Congressional District 27 (110th Congress), California",31354,684066,369795
2007,"Congressional District 28 (110th Congress), California",21352,651387,361044
2007,"Congressional District 29 (110th Congress), California",34238,648406,331754
2007,"Congressional District 30 (110th Congress), California",16157,650805,515031
2007,"Congressional District 31 (110th Congress), California",30589,643261,253138
2007,"Congressional District 32 (110th Congress), California",17526,647607,242264
2007,"Congressional District 33 (110th Congress), California",174240,639031,232245
2007,"Congressional District 34 (110th Congress), California",25322,648245,358232
2007,"Congressional District 35 (110th Congress), California",202863,656631,222943
2007,"Congressional District 36 (110th Congress), California",25886,673928,417590
2007,"Congressional District 37 (110th Congress), California",153614,651866,218301
2007,"Congressional District 38 (110th Congress), California",22360,653733,332094
2007,"Congressional District 39 (110th Congress), California",34064,669981,302635
2007,"Congressional District 40 (110th Congress), California",20145,668074,365488
2007,"Congressional District 41 (110th Congress), California",49882,776885,521485
2007,"Congressional District 42 (110th Congress), California",17903,687986,420639
2007,"Congressional District 43 (110th Congress), California",79071,724889,336534
2007,"Congressional District 44 (110th Congress), California",47979,837967,514820
2007,"Congressional District 45 (110th Congress), California",54791,863573,575527
2007,"Congressional District 46 (110th Congress), California",11598,655857,445506
2007,"Congressional District 47 (110th Congress), California",7467,617224,286144
2007,"Congressional District 48 (110th Congress), California",13591,717560,495050
2007,"Congressional District 49 (110th Congress), California",37123,771417,511360
2007,"Congressional District 50 (110th Congress), California",13116,708288,527639
2007,"Congressional District 51 (110th Congress), California",55374,715755,420634
2007,"Congressional District 52 (110th Congress), California",26144,661075,513206
2007,"Congressional District 53 (110th Congress), California",41983,631734,460179
2007,"Congressional District 1 (110th Congress), Colorado",62366,649013,499430
2007,"Congressional District 2 (110th Congress), Colorado",6809,702893,605422
2007,"Congressional District 3 (110th Congress), Colorado",5703,686453,603932
2007,"Congressional District 4 (110th Congress), Colorado",5581,713496,608950
2007,"Congressional District 5 (110th Congress), Colorado",39529,689791,561043
2007,"Congressional District 6 (110th Congress), Colorado",23424,760635,667482
2007,"Congressional District 7 (110th Congress), Colorado",45805,659234,514800
2007,"Congressional District 1 (110th Congress), Connecticut",95519,694208,494802
2007,"Congressional District 2 (110th Congress), Connecticut",25614,714321,628433
2007,"Congressional District 3 (110th Congress), Connecticut",86797,702649,549186
2007,"Congressional District 4 (110th Congress), Connecticut",75665,678727,517682
2007,"Congressional District 5 (110th Congress), Connecticut",44806,712404,596298
2007,"Congressional District (at Large) (110th Congress), Delaware",175682,864764,625354
2007,"Delegate District (at Large) (110th Congress), District of Columbia",321646,588292,210332
2007,"Congressional District 1 (110th Congress), Florida",100148,694225,543668
2007,"Congressional District 2 (110th Congress), Florida",146296,699531,514803
2007,"Congressional District 3 (110th Congress), Florida",353449,668709,258551
2007,"Congressional District 4 (110th Congress), Florida",103237,718148,565672
2007,"Congressional District 5 (110th Congress), Florida",51695,888200,781883
2007,"Congressional District 6 (110th Congress), Florida",97198,777307,620169
2007,"Congressional District 7 (110th Congress), Florida",73810,786673,659815
2007,"Congressional District 8 (110th Congress), Florida",83706,788398,592306
2007,"Congressional District 9 (110th Congress), Florida",38432,741544,654194
2007,"Congressional District 10 (110th Congress), Florida",29290,627951,559151
2007,"Congressional District 11 (110th Congress), Florida",193628,678037,422355
2007,"Congressional District 12 (110th Congress), Florida",113070,786899,600825
2007,"Congressional District 13 (110th Congress), Florida",39697,746046,658742
2007,"Congressional District 14 (110th Congress), Florida",54657,836292,717925
2007,"Congressional District 15 (110th Congress), Florida",72873,782951,642646
2007,"Congressional District 16 (110th Congress), Florida",63421,770015,652548
2007,"Congressional District 17 (110th Congress), Florida",384380,654778,221943
2007,"Congressional District 18 (110th Congress), Florida",51388,626639,533908
2007,"Congressional District 19 (110th Congress), Florida",81203,698747,550717
2007,"Congressional District 20 (110th Congress), Florida",64794,673698,538169
2007,"Congressional District 21 (110th Congress), Florida",73958,707168,564613
2007,"Congressional District 22 (110th Congress), Florida",36017,677283,580117
2007,"Congressional District 23 (110th Congress), Florida",364342,671090,216033
2007,"Congressional District 24 (110th Congress), Florida",55254,751159,625882
2007,"Congressional District 25 (110th Congress), Florida",74431,799755,644766
2007,"Congressional District 1 (110th Congress), Georgia",164323,677855,477452
2007,"Congressional District 2 (110th Congress), Georgia",300708,621179,295263
2007,"Congressional District 3 (110th Congress), Georgia",184229,789949,565174
2007,"Congressional District 4 (110th Congress), Georgia",384507,682943,197192
2007,"Congressional District 5 (110th Congress), Georgia",338942,671365,275774
2007,"Congressional District 6 (110th Congress), Georgia",73018,810135,644073
2007,"Congressional District 7 (110th Congress), Georgia",179252,883087,582349
2007,"Congressional District 8 (110th Congress), Georgia",236726,700344,431513
2007,"Congressional District 9 (110th Congress), Georgia",28463,789545,702723
2007,"Congressional District 10 (110th Congress), Georgia",139574,714583,542606
2007,"Congressional District 11 (110th Congress), Georgia",104520,768139,604104
2007,"Congressional District 12 (110th Congress), Georgia",295691,661717,342368
2007,"Congressional District 13 (110th Congress), Georgia",425236,773909,258289
2007,"Congressional District 1 (110th Congress), Hawaii",18023,632496,124331
2007,"Congressional District 2 (110th Congress), Hawaii",9813,650892,217448
2007,"Congressional District 1 (110th Congress), Idaho",4048,811472,752039
2007,"Congressional District 2 (110th Congress), Idaho",4963,687930,634308
2007,"Congressional District 1 (110th Congress), Illinois",411612,634026,178262
2007,"Congressional District 2 (110th Congress), Illinois",431857,643321,148483
2007,"Congressional District 3 (110th Congress), Illinois",46113,676049,454589
2007,"Congressional District 4 (110th Congress), Illinois",34517,594601,183187
2007,"Congressional District 5 (110th Congress), Illinois",23811,662565,449020
2007,"Congressional District 6 (110th Congress), Illinois",23485,657085,503776
2007,"Congressional District 7 (110th Congress), Illinois",328196,608267,209423
2007,"Congressional District 8 (110th Congress), Illinois",29734,741180,586346
2007,"Congressional District 9 (110th Congress), Illinois",59890,635478,423642
2007,"Congressional District 10 (110th Congress), Illinois",31424,656661,517126
2007,"Congressional District 11 (110th Congress), Illinois",60295,750862,642220
2007,"Congressional District 12 (110th Congress), Illinois",108796,652050,519336
2007,"Congressional District 13 (110th Congress), Illinois",51081,788502,625247
2007,"Congressional District 14 (110th Congress), Illinois",39399,805046,638492
2007,"Congressional District 15 (110th Congress), Illinois",45142,665479,582514
2007,"Congressional District 16 (110th Congress), Illinois",43265,732556,640156
2007,"Congressional District 17 (110th Congress), Illinois",49257,627372,542700
2007,"Congressional District 18 (110th Congress), Illinois",42999,654462,584852
2007,"Congressional District 19 (110th Congress), Illinois",23196,666986,627705
2007,"Congressional District 1 (110th Congress), Indiana",130064,695581,496273
2007,"Congressional District 2 (110th Congress), Indiana",56229,680643,577424
2007,"Congressional District 3 (110th Congress), Indiana",39888,710754,620582
2007,"Congressional District 4 (110th Congress), Indiana",21876,758611,702887
2007,"Congressional District 5 (110th Congress), Indiana",29038,782912,718427
2007,"Congressional District 6 (110th Congress), Indiana",28181,671238,621851
2007,"Congressional District 7 (110th Congress), Indiana",200884,650294,392965
2007,"Congressional District 8 (110th Congress), Indiana",25607,678076,633885
2007,"Congressional District 9 (110th Congress), Indiana",19448,717180,672604
2007,"Congressional District 1 (110th Congress), Iowa",22267,587084,540220
2007,"Congressional District 2 (110th Congress), Iowa",15263,608608,559376
2007,"Congressional District 3 (110th Congress), Iowa",21912,628378,564269
2007,"Congressional District 4 (110th Congress), Iowa",4845,594289,563703
2007,"Congressional District 5 (110th Congress), Iowa",5731,569688,538513
2007,"Congressional District 1 (110th Congress), Kansas",13412,643362,590231
