year,district,median_age
2010,"Congressional District 1 (111th Congress), Alabama",38.4
2010,"Congressional District 2 (111th Congress), Alabama",37.7
2010,"Congressional District 3 (111th Congress), Alabama",36.7
2010,"Congressional District 4 (111th Congress), Alabama",40.2
2010,"Congressional District 5 (111th Congress), Alabama",38.3
2010,"Congressional District 6 (111th Congress), Alabama",37.8
2010,"Congressional District 7 (111th Congress), Alabama",34.7
2010,"Congressional District (at Large) (111th Congress), Alaska",33.8
2010,"Congressional District 1 (111th Congress), Arizona",38.1
2010,"Congressional District 2 (111th Congress), Arizona",39.1
2010,"Congressional District 3 (111th Congress), Arizona",37.9
2010,"Congressional District 4 (111th Congress), Arizona",28.7
2010,"Congressional District 5 (111th Congress), Arizona",37.4
2010,"Congressional District 6 (111th Congress), Arizona",35.8
2010,"Congressional District 7 (111th Congress), Arizona",31.1
2010,"Congressional District 8 (111th Congress), Arizona",43.1
2010,"Congressional District 1 (111th Congress), Arkansas",38.8
2010,"Congressional District 2 (111th Congress), Arkansas",36.1
2010,"Congressional District 3 (111th Congress), Arkansas",35.2
2010,"Congressional District 4 (111th Congress), Arkansas",39.8
2010,"Congressional District 1 (111th Congress), California",37.1
2010,"Congressional District 2 (111th Congress), California",37.6
2010,"Congressional District 3 (111th Congress), California",38.3
2010,"Congressional District 4 (111th Congress), California",41.4
2010,"Congressional District 5 (111th Congress), California",33.1
2010,"Congressional District 6 (111th Congress), California",41.8
2010,"Congressional District 7 (111th Congress), California",36.1
2010,"Congressional District 8 (111th Congress), California",37.7
2010,"Congressional District 9 (111th Congress), California",35.8
2010,"Congressional District 10 (111th Congress), California",38.9
2010,"Congressional District 11 (111th Congress), California",36.7
2010,"Congressional District 12 (111th Congress), California",40.3
2010,"Congressional District 13 (111th Congress), California",36.4
2010,"Congressional District 14 (111th Congress), California",38.5
2010,"Congressional District 15 (111th Congress), California",36.5
2010,"Congressional District 16 (111th Congress), California",34.5
2010,"Congressional District 17 (111th Congress), California",33.4
2010,"Congressional District 18 (111th Congress), California",29.8
2010,"Congressional District 19 (111th Congress), California",35.3
2010,"Congressional District 20 (111th Congress), California",28.2
2010,"Congressional District 21 (111th Congress), California",30.5
2010,"Congressional District 22 (111th Congress), California",33.9
2010,"Congressional District 23 (111th Congress), California",32.4
2010,"Congressional District 24 (111th Congress), California",38.5
2010,"Congressional District 25 (111th Congress), California",32.8
2010,"Congressional District 26 (111th Congress), California",37.8
2010,"Congressional District 27 (111th Congress), California",36.5
2010,"Congressional District 28 (111th Congress), California",32.7
2010,"Congressional District 29 (111th Congress), California",39.2
2010,"Congressional District 30 (111th Congress), California",40.3
2010,"Congressional District 31 (111th Congress), California",32.8
2010,"Congressional District 32 (111th Congress), California",34.5
2010,"Congressional District 33 (111th Congress), California",34.7
2010,"Congressional District 34 (111th Congress), California",31.3
2010,"Congressional District 35 (111th Congress), California",31.4
2010,"Congressional District 36 (111th Congress), California",36.5
2010,"Congressional District 37 (111th Congress), California",31.8
2010,"Congressional District 38 (111th Congress), California",32.0
2010,"Congressional District 39 (111th Congress), California",32.7
2010,"Congressional District 40 (111th Congress), California",36.0
2010,"Congressional District 41 (111th Congress), California",35.1
2010,"Congressional District 42 (111th Congress), California",37.7
2010,"Congressional District 43 (111th Congress), California",29.1
2010,"Congressional District 44 (111th Congress), California",32.9
2010,"Congressional District 45 (111th Congress), California",34.9
2010,"Congressional District 46 (111th Congress), California",40.7
2010,"Congressional District 47 (111th Congress), California",30.0
2010,"Congressional District 48 (111th Congress), California",38.1
2010,"Congressional District 49 (111th Congress), California",32.7
2010,"Congressional District 50 (111th Congress), California",37.7
2010,"Congressional District 51 (111th Congress), California",32.7
