year,district,bach_deg_num,median_HH_income,high_school_num
2012,"Congressional District 1 (113th Congress), Alabama",67218,22195,154868
2012,"Congressional District 2 (113th Congress), Alabama",64206,21499,151411
2012,"Congressional District 3 (113th Congress), Alabama",55839,20905,147007
2012,"Congressional District 4 (113th Congress), Alabama",44156,20189,159138
2012,"Congressional District 5 (113th Congress), Alabama",90959,25089,129821
2012,"Congressional District 6 (113th Congress), Alabama",97049,29386,115167
2012,"Congressional District 7 (113th Congress), Alabama",52610,16806,146131
2012,"Congressional District (at Large) (113th Congress), Alaska",79559,29932,130277
2012,"Congressional District 1 (113th Congress), Arizona",66498,22805,121709
2012,"Congressional District 2 (113th Congress), Arizona",93730,24279,103725
2012,"Congressional District 3 (113th Congress), Arizona",43200,20625,111602
2012,"Congressional District 4 (113th Congress), Arizona",62220,21930,153470
2012,"Congressional District 5 (113th Congress), Arizona",106482,31081,114368
2012,"Congressional District 6 (113th Congress), Arizona",129456,32128,95919
2012,"Congressional District 7 (113th Congress), Arizona",38614,19870,111714
2012,"Congressional District 8 (113th Congress), Arizona",89578,30061,127774
2012,"Congressional District 9 (113th Congress), Arizona",105980,26973,97889
2012,"Congressional District 1 (113th Congress), Arkansas",49657,19842,191671
2012,"Congressional District 2 (113th Congress), Arkansas",91033,24849,157210
2012,"Congressional District 3 (113th Congress), Arkansas",74941,22754,156144
2012,"Congressional District 4 (113th Congress), Arkansas",53510,19677,180924
2012,"Congressional District 1 (113th Congress), California",72588,21675,120571
2012,"Congressional District 2 (113th Congress), California",114728,28228,96575
2012,"Congressional District 3 (113th Congress), California",66942,24563,104926
2012,"Congressional District 4 (113th Congress), California",102786,28721,109646
2012,"Congressional District 5 (113th Congress), California",96637,27772,103324
2012,"Congressional District 6 (113th Congress), California",76984,23277,104952
2012,"Congressional District 7 (113th Congress), California",100380,29336,102224
2012,"Congressional District 8 (113th Congress), California",38526,21509,128402
2012,"Congressional District 9 (113th Congress), California",63050,23738,108445
2012,"Congressional District 10 (113th Congress), California",50852,22605,128533
2012,"Congressional District 11 (113th Congress), California",124625,32522,86698
2012,"Congressional District 12 (113th Congress), California",192228,37049,70406
2012,"Congressional District 13 (113th Congress), California",125059,30779,78408
2012,"Congressional District 14 (113th Congress), California",134542,33962,91973
2012,"Congressional District 15 (113th Congress), California",131126,38113,96768
2012,"Congressional District 16 (113th Congress), California",33044,17615,104356
2012,"Congressional District 17 (113th Congress), California",138501,41791,73774
2012,"Congressional District 18 (113th Congress), California",150478,46091,60910
2012,"Congressional District 19 (113th Congress), California",96597,29265,85250
2012,"Congressional District 20 (113th Congress), California",77604,23570,83719
2012,"Congressional District 21 (113th Congress), California",22660,16279,98621
2012,"Congressional District 22 (113th Congress), California",68092,22600,99661
2012,"Congressional District 23 (113th Congress), California",54202,23652,110665
2012,"Congressional District 24 (113th Congress), California",87726,25434,88904
2012,"Congressional District 25 (113th Congress), California",83698,30396,94530
2012,"Congressional District 26 (113th Congress), California",91669,26851,81712
2012,"Congressional District 27 (113th Congress), California",126273,29020,93957
2012,"Congressional District 28 (113th Congress), California",149899,26606,90174
2012,"Congressional District 29 (113th Congress), California",69915,20664,111463
2012,"Congressional District 30 (113th Congress), California",144498,31104,93482
2012,"Congressional District 31 (113th Congress), California",61526,23062,99114
2012,"Congressional District 32 (113th Congress), California",61398,21900,121935
2012,"Congressional District 33 (113th Congress), California",178317,46847,52649
2012,"Congressional District 34 (113th Congress), California",75745,17107,98476
2012,"Congressional District 35 (113th Congress), California",46380,21157,113071
2012,"Congressional District 36 (113th Congress), California",59102,21566,118771
2012,"Congressional District 37 (113th Congress), California",109107,24052,85912
2012,"Congressional District 38 (113th Congress), California",67681,24809,116071
