year,district,mortgage_cost
2015,"Congressional District 1 (114th Congress), Alabama",774
2015,"Congressional District 2 (114th Congress), Alabama",701
2015,"Congressional District 3 (114th Congress), Alabama",687
2015,"Congressional District 4 (114th Congress), Alabama",582
2015,"Congressional District 5 (114th Congress), Alabama",746
2015,"Congressional District 6 (114th Congress), Alabama",932
2015,"Congressional District 7 (114th Congress), Alabama",707
2015,"Congressional District (at Large) (114th Congress), Alaska",1251
2015,"Congressional District 1 (114th Congress), Arizona",780
2015,"Congressional District 2 (114th Congress), Arizona",848
2015,"Congressional District 3 (114th Congress), Arizona",887
2015,"Congressional District 4 (114th Congress), Arizona",792
2015,"Congressional District 5 (114th Congress), Arizona",1192
2015,"Congressional District 6 (114th Congress), Arizona",1144
2015,"Congressional District 7 (114th Congress), Arizona",852
2015,"Congressional District 8 (114th Congress), Arizona",1081
2015,"Congressional District 9 (114th Congress), Arizona",980
2015,"Congressional District 1 (114th Congress), Arkansas",610
2015,"Congressional District 2 (114th Congress), Arkansas",803
2015,"Congressional District 3 (114th Congress), Arkansas",750
2015,"Congressional District 4 (114th Congress), Arkansas",572
2015,"Congressional District 1 (114th Congress), California",958
2015,"Congressional District 2 (114th Congress), California",1417
2015,"Congressional District 3 (114th Congress), California",1225
2015,"Congressional District 4 (114th Congress), California",1372
2015,"Congressional District 5 (114th Congress), California",1454
2015,"Congressional District 6 (114th Congress), California",1099
2015,"Congressional District 7 (114th Congress), California",1349
2015,"Congressional District 8 (114th Congress), California",1010
2015,"Congressional District 9 (114th Congress), California",1246
2015,"Congressional District 10 (114th Congress), California",1187
2015,"Congressional District 11 (114th Congress), California",1646
2015,"Congressional District 12 (114th Congress), California",1818
2015,"Congressional District 13 (114th Congress), California",1508
2015,"Congressional District 14 (114th Congress), California",2102
2015,"Congressional District 15 (114th Congress), California",1990
2015,"Congressional District 16 (114th Congress), California",914
2015,"Congressional District 17 (114th Congress), California",2145
2015,"Congressional District 18 (114th Congress), California",2210
2015,"Congressional District 19 (114th Congress), California",1891
2015,"Congressional District 20 (114th Congress), California",1424
2015,"Congressional District 21 (114th Congress), California",875
2015,"Congressional District 22 (114th Congress), California",1075
2015,"Congressional District 23 (114th Congress), California",1096
2015,"Congressional District 24 (114th Congress), California",1440
2015,"Congressional District 25 (114th Congress), California",1622
2015,"Congressional District 26 (114th Congress), California",1711
2015,"Congressional District 27 (114th Congress), California",1497
2015,"Congressional District 28 (114th Congress), California",1479
2015,"Congressional District 29 (114th Congress), California",1341
2015,"Congressional District 30 (114th Congress), California",1781
2015,"Congressional District 31 (114th Congress), California",1264
2015,"Congressional District 32 (114th Congress), California",1415
