year,district,bach_deg_num,high_school_num,median_HH_income
2017,"Congressional District 1 (115th Congress), Alabama",80791,164976,25671
2017,"Congressional District 2 (115th Congress), Alabama",66060,148915,23495
2017,"Congressional District 3 (115th Congress), Alabama",60505,150380,24279
2017,"Congressional District 4 (115th Congress), Alabama",50197,160947,22404
2017,"Congressional District 5 (115th Congress), Alabama",99791,133786,27695
2017,"Congressional District 6 (115th Congress), Alabama",111486,122508,32942
2017,"Congressional District 7 (115th Congress), Alabama",59189,148470,19953
2017,"Congressional District (at Large) (115th Congress), Alaska",86444,133132,31686
2017,"Congressional District 1 (115th Congress), Arizona",75500,134446,25001
2017,"Congressional District 2 (115th Congress), Arizona",101259,100340,29215
2017,"Congressional District 3 (115th Congress), Arizona",51968,130406,22762
2017,"Congressional District 4 (115th Congress), Arizona",67941,173035,25405
2017,"Congressional District 5 (115th Congress), Arizona",131413,124694,35752
2017,"Congressional District 6 (115th Congress), Arizona",154467,103087,37671
2017,"Congressional District 7 (115th Congress), Arizona",45994,137688,23330
2017,"Congressional District 8 (115th Congress), Arizona",110959,139106,32539
2017,"Congressional District 9 (115th Congress), Arizona",123561,93691,32110
2017,"Congressional District 1 (115th Congress), Arkansas",53494,193380,22153
2017,"Congressional District 2 (115th Congress), Arkansas",94553,155412,27399
2017,"Congressional District 3 (115th Congress), Arkansas",99529,151807,26845
2017,"Congressional District 4 (115th Congress), Arkansas",53718,182686,21694
2017,"Congressional District 1 (115th Congress), California",80208,127359,25735
2017,"Congressional District 2 (115th Congress), California",130849,92059,34686
2017,"Congressional District 3 (115th Congress), California",77875,115632,28930
2017,"Congressional District 4 (115th Congress), California",113952,114800,35026
2017,"Congressional District 5 (115th Congress), California",110380,106461,35050
2017,"Congressional District 6 (115th Congress), California",91235,125112,28793
2017,"Congressional District 7 (115th Congress), California",115002,106920,34593
2017,"Congressional District 8 (115th Congress), California",47299,135135,24300
2017,"Congressional District 9 (115th Congress), California",73590,134410,29778
2017,"Congressional District 10 (115th Congress), California",59643,145722,29048
2017,"Congressional District 11 (115th Congress), California",147607,85337,38250
2017,"Congressional District 12 (115th Congress), California",224026,69525,51763
2017,"Congressional District 13 (115th Congress), California",148009,79580,36533
2017,"Congressional District 14 (115th Congress), California",156745,82959,42334
2017,"Congressional District 15 (115th Congress), California",152333,106621,47068
2017,"Congressional District 16 (115th Congress), California",37895,104195,20641
2017,"Congressional District 17 (115th Congress), California",156445,86440,50340
2017,"Congressional District 18 (115th Congress), California",160229,54469,55951
2017,"Congressional District 19 (115th Congress), California",118794,99462,36408
2017,"Congressional District 20 (115th Congress), California",79630,95993,28588
2017,"Congressional District 21 (115th Congress), California",26453,118619,20357
2017,"Congressional District 22 (115th Congress), California",76592,105019,27353
2017,"Congressional District 23 (115th Congress), California",62950,130765,26560
2017,"Congressional District 24 (115th Congress), California",97223,87611,30416
2017,"Congressional District 25 (115th Congress), California",86297,105201,32119
2017,"Congressional District 26 (115th Congress), California",105787,91925,32055
2017,"Congressional District 27 (115th Congress), California",135722,95701,33235
2017,"Congressional District 28 (115th Congress), California",171740,104630,31653
2017,"Congressional District 29 (115th Congress), California",72449,120289,24343
2017,"Congressional District 30 (115th Congress), California",163639,89995,36947
2017,"Congressional District 31 (115th Congress), California",78709,118946,26365
2017,"Congressional District 32 (115th Congress), California",76480,127345,25854
2017,"Congressional District 33 (115th Congress), California",188944,51536,50809
2017,"Congressional District 34 (115th Congress), California",104732,107682,22330
2017,"Congressional District 35 (115th Congress), California",54696,123058,24178
2017,"Congressional District 36 (115th Congress), California",68045,155990,25406
2017,"Congressional District 37 (115th Congress), California",114963,86750,30920
2017,"Congressional District 38 (115th Congress), California",80987,131005,30079
2017,"Congressional District 39 (115th Congress), California",138331,92619,33325
2017,"Congressional District 40 (115th Congress), California",33995,112153,21368
2017,"Congressional District 41 (115th Congress), California",50049,130589,25208
2017,"Congressional District 42 (115th Congress), California",93231,130267,31711
2017,"Congressional District 43 (115th Congress), California",95068,109256,26594
2017,"Congressional District 44 (115th Congress), California",46003,116316,22325
2017,"Congressional District 45 (115th Congress), California",181043,65516,45578
2017,"Congressional District 46 (115th Congress), California",66978,109890,25465
2017,"Congressional District 47 (115th Congress), California",109402,92089,31191
2017,"Congressional District 48 (115th Congress), California",152939,81400,38882
2017,"Congressional District 49 (115th Congress), California",135826,81278,36428
2017,"Congressional District 50 (115th Congress), California",99452,120235,31724
2017,"Congressional District 51 (115th Congress), California",50630,125808,22414
2017,"Congressional District 52 (115th Congress), California",181021,57866,44220
2017,"Congressional District 53 (115th Congress), California",134327,95642,35137
2017,"Congressional District 1 (115th Congress), Colorado",179623,105269,39137
2017,"Congressional District 2 (115th Congress), Colorado",180378,81487,36404
2017,"Congressional District 3 (115th Congress), Colorado",108366,135099,27843
2017,"Congressional District 4 (115th Congress), Colorado",129984,126249,35215
2017,"Congressional District 5 (115th Congress), Colorado",118935,115552,31455
2017,"Congressional District 6 (115th Congress), Colorado",154614,113747,37896
2017,"Congressional District 7 (115th Congress), Colorado",122994,138192,34740
2017,"Congressional District 1 (115th Congress), Connecticut",100102,132918,36202
2017,"Congressional District 2 (115th Congress), Connecticut",96775,144603,35193
2017,"Congressional District 3 (115th Congress), Connecticut",94447,152987,34752
2017,"Congressional District 4 (115th Congress), Connecticut",133151,102874,38966
2017,"Congressional District 5 (115th Congress), Connecticut",109316,143529,35933
2017,"Congressional District (at Large) (115th Congress), Delaware",121442,218309,32130
2017,"Delegate District (at Large) (115th Congress), District of Columbia",118172,85033,49075
2017,"Congressional District 1 (115th Congress), Florida",94011,138967,27694
2017,"Congressional District 2 (115th Congress), Florida",76401,168338,25896
2017,"Congressional District 3 (115th Congress), Florida",74244,157787,25044
2017,"Congressional District 4 (115th Congress), Florida",147731,132958,34116
2017,"Congressional District 5 (115th Congress), Florida",66881,158341,23885
2017,"Congressional District 6 (115th Congress), Florida",83559,185464,25752
2017,"Congressional District 7 (115th Congress), Florida",147036,104174,31069
2017,"Congressional District 8 (115th Congress), Florida",104346,161317,26671
2017,"Congressional District 9 (115th Congress), Florida",91492,170861,23973
2017,"Congressional District 10 (115th Congress), Florida",119047,140139,25183
2017,"Congressional District 11 (115th Congress), Florida",87103,215004,24280
2017,"Congressional District 12 (115th Congress), Florida",101647,181432,27887
2017,"Congressional District 13 (115th Congress), Florida",110486,164142,27675
2017,"Congressional District 14 (115th Congress), Florida",123161,145006,27410
2017,"Congressional District 15 (115th Congress), Florida",92162,171854,27835
2017,"Congressional District 16 (115th Congress), Florida",122934,169272,29827
2017,"Congressional District 17 (115th Congress), Florida",80488,214984,25356
2017,"Congressional District 18 (115th Congress), Florida",119846,159605,28796
2017,"Congressional District 19 (115th Congress), Florida",124222,184725,28640
2017,"Congressional District 20 (115th Congress), Florida",69613,169482,23917
2017,"Congressional District 21 (115th Congress), Florida",126455,145925,28778
2017,"Congressional District 22 (115th Congress), Florida",139872,139019,31888
2017,"Congressional District 23 (115th Congress), Florida",132922,115961,32405
2017,"Congressional District 24 (115th Congress), Florida",71369,173614,21737
2017,"Congressional District 25 (115th Congress), Florida",89806,180208,22050
2017,"Congressional District 26 (115th Congress), Florida",108722,155270,24924
2017,"Congressional District 27 (115th Congress), Florida",133944,126191,26037
2017,"Congressional District 1 (115th Congress), Georgia",74860,144540,26488
2017,"Congressional District 2 (115th Congress), Georgia",45276,154443,21693
2017,"Congressional District 3 (115th Congress), Georgia",89249,147630,28398
2017,"Congressional District 4 (115th Congress), Georgia",91964,132482,29771
2017,"Congressional District 5 (115th Congress), Georgia",120915,126464,29318
2017,"Congressional District 6 (115th Congress), Georgia",199812,67567,44928
2017,"Congressional District 7 (115th Congress), Georgia",147299,111004,34381
2017,"Congressional District 8 (115th Congress), Georgia",62174,156301,25028
2017,"Congressional District 9 (115th Congress), Georgia",75395,162283,25957
2017,"Congressional District 10 (115th Congress), Georgia",72931,163249,25761
2017,"Congressional District 11 (115th Congress), Georgia",137929,109684,34859
2017,"Congressional District 12 (115th Congress), Georgia",61046,152042,22031
2017,"Congressional District 13 (115th Congress), Georgia",82991,144008,29504
2017,"Congressional District 14 (115th Congress), Georgia",49770,164804,26370
