year,district,unemp_rate
2017,"Congressional District 1 (115th Congress), Alabama",5.8
2017,"Congressional District 2 (115th Congress), Alabama",6.2
2017,"Congressional District 3 (115th Congress), Alabama",5.3
2017,"Congressional District 4 (115th Congress), Alabama",6.0
2017,"Congressional District 5 (115th Congress), Alabama",4.7
2017,"Congressional District 6 (115th Congress), Alabama",4.4
2017,"Congressional District 7 (115th Congress), Alabama",9.0
2017,"Congressional District (at Large) (115th Congress), Alaska",7.6
2017,"Congressional District 1 (115th Congress), Arizona",8.0
2017,"Congressional District 2 (115th Congress), Arizona",6.9
2017,"Congressional District 3 (115th Congress), Arizona",7.9
2017,"Congressional District 4 (115th Congress), Arizona",6.2
2017,"Congressional District 5 (115th Congress), Arizona",3.7
2017,"Congressional District 6 (115th Congress), Arizona",4.4
2017,"Congressional District 7 (115th Congress), Arizona",7.0
2017,"Congressional District 8 (115th Congress), Arizona",4.4
2017,"Congressional District 9 (115th Congress), Arizona",4.7
2017,"Congressional District 1 (115th Congress), Arkansas",6.0
2017,"Congressional District 2 (115th Congress), Arkansas",5.0
2017,"Congressional District 3 (115th Congress), Arkansas",5.0
2017,"Congressional District 4 (115th Congress), Arkansas",6.7
2017,"Congressional District 1 (115th Congress), California",5.8
2017,"Congressional District 2 (115th Congress), California",5.0
2017,"Congressional District 3 (115th Congress), California",5.7
2017,"Congressional District 4 (115th Congress), California",4.4
2017,"Congressional District 5 (115th Congress), California",4.8
2017,"Congressional District 6 (115th Congress), California",7.7
2017,"Congressional District 7 (115th Congress), California",5.6
2017,"Congressional District 8 (115th Congress), California",9.7
2017,"Congressional District 9 (115th Congress), California",7.0
2017,"Congressional District 10 (115th Congress), California",7.0
2017,"Congressional District 11 (115th Congress), California",5.2
2017,"Congressional District 12 (115th Congress), California",3.6
2017,"Congressional District 13 (115th Congress), California",5.9
2017,"Congressional District 14 (115th Congress), California",3.8
2017,"Congressional District 15 (115th Congress), California",3.3
2017,"Congressional District 16 (115th Congress), California",11.3
2017,"Congressional District 17 (115th Congress), California",3.8
2017,"Congressional District 18 (115th Congress), California",3.7
2017,"Congressional District 19 (115th Congress), California",4.7
2017,"Congressional District 20 (115th Congress), California",6.1
2017,"Congressional District 21 (115th Congress), California",9.2
2017,"Congressional District 22 (115th Congress), California",7.2
2017,"Congressional District 23 (115th Congress), California",9.0
2017,"Congressional District 24 (115th Congress), California",5.0
2017,"Congressional District 25 (115th Congress), California",5.8
2017,"Congressional District 26 (115th Congress), California",5.2
2017,"Congressional District 27 (115th Congress), California",4.3
2017,"Congressional District 28 (115th Congress), California",6.1
2017,"Congressional District 29 (115th Congress), California",5.5
2017,"Congressional District 30 (115th Congress), California",6.0
2017,"Congressional District 31 (115th Congress), California",8.1
2017,"Congressional District 32 (115th Congress), California",6.0
2017,"Congressional District 33 (115th Congress), California",5.0
2017,"Congressional District 34 (115th Congress), California",6.8
2017,"Congressional District 35 (115th Congress), California",6.8
2017,"Congressional District 36 (115th Congress), California",9.3
2017,"Congressional District 37 (115th Congress), California",6.4
2017,"Congressional District 38 (115th Congress), California",5.0
2017,"Congressional District 39 (115th Congress), California",5.2
2017,"Congressional District 40 (115th Congress), California",6.8
2017,"Congressional District 41 (115th Congress), California",8.3
2017,"Congressional District 42 (115th Congress), California",6.1
2017,"Congressional District 43 (115th Congress), California",6.2
2017,"Congressional District 44 (115th Congress), California",8.1
2017,"Congressional District 45 (115th Congress), California",4.0
2017,"Congressional District 46 (115th Congress), California",4.7
2017,"Congressional District 47 (115th Congress), California",4.8
2017,"Congressional District 48 (115th Congress), California",3.8
2017,"Congressional District 49 (115th Congress), California",4.6
2017,"Congressional District 50 (115th Congress), California",4.8
2017,"Congressional District 51 (115th Congress), California",10.4
2017,"Congressional District 52 (115th Congress), California",5.1
2017,"Congressional District 53 (115th Congress), California",6.0
2017,"Congressional District 1 (115th Congress), Colorado",3.1
2017,"Congressional District 2 (115th Congress), Colorado",4.1
2017,"Congressional District 3 (115th Congress), Colorado",6.1
2017,"Congressional District 4 (115th Congress), Colorado",3.9
2017,"Congressional District 5 (115th Congress), Colorado",5.6
2017,"Congressional District 6 (115th Congress), Colorado",3.9
2017,"Congressional District 7 (115th Congress), Colorado",3.3
2017,"Congressional District 1 (115th Congress), Connecticut",6.2
2017,"Congressional District 2 (115th Congress), Connecticut",4.6
2017,"Congressional District 3 (115th Congress), Connecticut",6.9
2017,"Congressional District 4 (115th Congress), Connecticut",6.8
2017,"Congressional District 5 (115th Congress), Connecticut",5.9
2017,"Congressional District (at Large) (115th Congress), Delaware",5.3
2017,"Delegate District (at Large) (115th Congress), District of Columbia",6.6
2017,"Congressional District 1 (115th Congress), Florida",5.3
2017,"Congressional District 2 (115th Congress), Florida",6.4
2017,"Congressional District 3 (115th Congress), Florida",5.6
2017,"Congressional District 4 (115th Congress), Florida",4.5
2017,"Congressional District 5 (115th Congress), Florida",8.0
2017,"Congressional District 6 (115th Congress), Florida",4.9
2017,"Congressional District 7 (115th Congress), Florida",4.2
2017,"Congressional District 8 (115th Congress), Florida",4.5
2017,"Congressional District 9 (115th Congress), Florida",4.8
2017,"Congressional District 10 (115th Congress), Florida",5.5
2017,"Congressional District 11 (115th Congress), Florida",7.3
2017,"Congressional District 12 (115th Congress), Florida",5.4
2017,"Congressional District 13 (115th Congress), Florida",5.5
2017,"Congressional District 14 (115th Congress), Florida",5.7
2017,"Congressional District 15 (115th Congress), Florida",4.6
2017,"Congressional District 16 (115th Congress), Florida",4.6
2017,"Congressional District 17 (115th Congress), Florida",5.4
2017,"Congressional District 18 (115th Congress), Florida",4.9
2017,"Congressional District 19 (115th Congress), Florida",4.8
2017,"Congressional District 20 (115th Congress), Florida",6.8
2017,"Congressional District 21 (115th Congress), Florida",5.8
2017,"Congressional District 22 (115th Congress), Florida",5.8
2017,"Congressional District 23 (115th Congress), Florida",5.5
2017,"Congressional District 24 (115th Congress), Florida",9.4
2017,"Congressional District 25 (115th Congress), Florida",4.1
2017,"Congressional District 26 (115th Congress), Florida",5.5
2017,"Congressional District 27 (115th Congress), Florida",4.6
2017,"Congressional District 1 (115th Congress), Georgia",6.8
2017,"Congressional District 2 (115th Congress), Georgia",9.8
2017,"Congressional District 3 (115th Congress), Georgia",5.9
2017,"Congressional District 4 (115th Congress), Georgia",6.2
2017,"Congressional District 5 (115th Congress), Georgia",6.9
2017,"Congressional District 6 (115th Congress), Georgia",3.8
2017,"Congressional District 7 (115th Congress), Georgia",4.4
2017,"Congressional District 8 (115th Congress), Georgia",6.5
2017,"Congressional District 9 (115th Congress), Georgia",3.9
2017,"Congressional District 10 (115th Congress), Georgia",4.6
2017,"Congressional District 11 (115th Congress), Georgia",4.0
2017,"Congressional District 12 (115th Congress), Georgia",7.1
2017,"Congressional District 13 (115th Congress), Georgia",6.9
2017,"Congressional District 14 (115th Congress), Georgia",5.2
2017,"Congressional District 1 (115th Congress), Hawaii",3.3
2017,"Congressional District 2 (115th Congress), Hawaii",5.2
2017,"Congressional District 1 (115th Congress), Idaho",4.3
2017,"Congressional District 2 (115th Congress), Idaho",3.9
2017,"Congressional District 1 (115th Congress), Illinois",13.0
2017,"Congressional District 2 (115th Congress), Illinois",13.2
2017,"Congressional District 3 (115th Congress), Illinois",5.5
2017,"Congressional District 4 (115th Congress), Illinois",5.3
2017,"Congressional District 5 (115th Congress), Illinois",3.6
2017,"Congressional District 6 (115th Congress), Illinois",3.9
2017,"Congressional District 7 (115th Congress), Illinois",9.2
2017,"Congressional District 8 (115th Congress), Illinois",4.6
2017,"Congressional District 9 (115th Congress), Illinois",3.1
2017,"Congressional District 10 (115th Congress), Illinois",4.8
2017,"Congressional District 11 (115th Congress), Illinois",5.3
2017,"Congressional District 12 (115th Congress), Illinois",6.1
2017,"Congressional District 13 (115th Congress), Illinois",6.3
2017,"Congressional District 14 (115th Congress), Illinois",4.2
2017,"Congressional District 15 (115th Congress), Illinois",5.4
2017,"Congressional District 16 (115th Congress), Illinois",6.4
2017,"Congressional District 17 (115th Congress), Illinois",7.9
2017,"Congressional District 18 (115th Congress), Illinois",4.4
2017,"Congressional District 1 (115th Congress), Indiana",6.5
2017,"Congressional District 2 (115th Congress), Indiana",4.4
2017,"Congressional District 3 (115th Congress), Indiana",4.1
2017,"Congressional District 4 (115th Congress), Indiana",3.8
2017,"Congressional District 5 (115th Congress), Indiana",3.7
2017,"Congressional District 6 (115th Congress), Indiana",4.2
2017,"Congressional District 7 (115th Congress), Indiana",7.0
2017,"Congressional District 8 (115th Congress), Indiana",4.5
2017,"Congressional District 9 (115th Congress), Indiana",4.6
2017,"Congressional District 1 (115th Congress), Iowa",3.7
2017,"Congressional District 2 (115th Congress), Iowa",4.0
2017,"Congressional District 3 (115th Congress), Iowa",3.4
2017,"Congressional District 4 (115th Congress), Iowa",3.2
2017,"Congressional District 1 (115th Congress), Kansas",3.5
2017,"Congressional District 2 (115th Congress), Kansas",4.2
2017,"Congressional District 3 (115th Congress), Kansas",3.7
2017,"Congressional District 4 (115th Congress), Kansas",5.4
2017,"Congressional District 1 (115th Congress), Kentucky",5.2
