year,district,black_pop,total_pop,white_pop,mortgage_cost,median_age,bach_deg_num,median_HH_income,high_school_num,unemp_rate
2006,"Congressional District 1 (109th Congress), Alabama",186588,666932,455389,686,37.0,56006.0,20810.0,157497.0,6.3
2006,"Congressional District 2 (109th Congress), Alabama",201390,649951,430327,589,37.3,49506.0,19304.0,147851.0,7.1
2006,"Congressional District 3 (109th Congress), Alabama",210547,657814,428587,594,35.8,46787.0,17839.0,137403.0,9.2
2006,"Congressional District 4 (109th Congress), Alabama",33616,652585,597162,507,38.7,34236.0,18103.0,153958.0,6.4
2006,"Congressional District 5 (109th Congress), Alabama",115797,670041,523660,639,38.1,77696.0,22008.0,130665.0,5.8
2006,"Congressional District 6 (109th Congress), Alabama",76376,697031,597460,858,38.3,98771.0,28886.0,131628.0,4.0
2006,"Congressional District 7 (109th Congress), Alabama",385007,604676,205373,600,34.8,40120.0,16275.0,127220.0,10.4
2006,"Congressional District (at Large) (109th Congress), Alaska",21476,670053,460170,1015,33.5,72258.0,25793.0,119251.0,9.4
2006,"Congressional District 1 (109th Congress), Arizona",8824,730163,480289,661,35.7,53123.0,19726.0,143568.0,5.0
2006,"Congressional District 2 (109th Congress), Arizona",28697,897525,738781,975,38.5,82129.0,25474.0,178521.0,4.8
2006,"Congressional District 3 (109th Congress), Arizona",20980,699585,602443,1082,36.0,96067.0,30008.0,115449.0,4.1
2006,"Congressional District 4 (109th Congress), Arizona",54889,707088,479842,815,28.2,35349.0,20833.0,113876.0,5.4
2006,"Congressional District 5 (109th Congress), Arizona",20355,671465,563872,1074,36.1,115938.0,30090.0,88658.0,3.8
2006,"Congressional District 6 (109th Congress), Arizona",22093,948360,803001,1132,33.2,110819.0,29493.0,152292.0,3.6
2006,"Congressional District 7 (109th Congress), Arizona",28494,787055,477148,727,31.0,45052.0,19640.0,148742.0,8.4
2006,"Congressional District 8 (109th Congress), Arizona",23505,725077,595934,831,41.0,104705.0,25857.0,115047.0,4.6
2006,"Congressional District 1 (109th Congress), Arkansas",114255,675114,543111,524,38.1,41204.0,17538.0,176972.0,8.6
2006,"Congressional District 2 (109th Congress), Arkansas",146392,704974,528939,701,36.5,70485.0,21868.0,152333.0,5.5
2006,"Congressional District 3 (109th Congress), Arkansas",18283,765390,663180,641,35.2,65580.0,20461.0,167846.0,5.4
2006,"Congressional District 4 (109th Congress), Arkansas",158750,665394,472994,508,39.0,43964.0,17072.0,174349.0,9.0
2006,"Congressional District 1 (109th Congress), California",12077,686677,536749,997,35.8,78292.0,22407.0,110128.0,7.1
2006,"Congressional District 2 (109th Congress), California",7901,701123,565575,842,35.8,59019.0,20306.0,134696.0,9.3
2006,"Congressional District 3 (109th Congress), California",47293,785650,560433,1371,36.6,101288.0,30983.0,125106.0,5.8
2006,"Congressional District 4 (109th Congress), California",8765,748169,639732,1261,38.9,98111.0,28220.0,125964.0,5.8
2006,"Congressional District 5 (109th Congress), California",92596,658493,336436,1026,32.1,72055.0,23257.0,104536.0,9.0
2006,"Congressional District 6 (109th Congress), California",14965,641428,513789,1525,40.8,106907.0,31300.0,86757.0,5.1
2006,"Congressional District 7 (109th Congress), California",103029,654534,312348,1466,36.5,72820.0,29090.0,111286.0,6.7
2006,"Congressional District 8 (109th Congress), California",47775,602099,321240,1315,38.9,143053.0,32409.0,69140.0,6.1
2006,"Congressional District 9 (109th Congress), California",135893,623539,277818,1210,36.3,87417.0,25999.0,79347.0,8.7
2006,"Congressional District 10 (109th Congress), California",49346,683572,443040,1736,37.2,102675.0,34458.0,90357.0,6.1
2006,"Congressional District 11 (109th Congress), California",37485,792039,532940,1721,35.1,104608.0,32948.0,124250.0,6.4
2006,"Congressional District 12 (109th Congress), California",14596,642844,346979,1689,40.7,140974.0,37243.0,80016.0,4.7
2006,"Congressional District 13 (109th Congress), California",45691,643902,259903,1496,36.6,101366.0,31714.0,109682.0,6.2
2006,"Congressional District 14 (109th Congress), California",19332,651056,445133,1626,38.0,121373.0,40769.0,61128.0,4.8
2006,"Congressional District 15 (109th Congress), California",15840,664233,324803,1627,37.0,119310.0,37103.0,81094.0,5.7
2006,"Congressional District 16 (109th Congress), California",20230,647847,305353,1695,34.3,85025.0,28680.0,96420.0,7.1
2006,"Congressional District 17 (109th Congress), California",14822,641114,440503,1320,32.7,61824.0,23073.0,81804.0,9.8
2006,"Congressional District 18 (109th Congress), California",39267,700850,441736,976,29.8,28736.0,18739.0,115743.0,11.8
2006,"Congressional District 19 (109th Congress), California",25019,748104,564510,1072,33.4,65239.0,22962.0,133882.0,8.3
2006,"Congressional District 20 (109th Congress), California",44836,702391,387964,716,27.7,20944.0,15130.0,103324.0,12.9
2006,"Congressional District 21 (109th Congress), California",18100,749852,525316,866,29.6,51186.0,19887.0,109614.0,8.9
2006,"Congressional District 22 (109th Congress), California",43462,738104,508740,1067,33.6,64126.0,23438.0,130730.0,7.1
2006,"Congressional District 23 (109th Congress), California",13997,637864,463115,1292,32.9,71918.0,21983.0,75944.0,5.6
2006,"Congressional District 24 (109th Congress), California",11230,687724,497735,1684,37.1,91703.0,31432.0,98732.0,5.0
2006,"Congressional District 25 (109th Congress), California",76655,786155,462504,1419,31.4,63619.0,24867.0,126995.0,7.5
2006,"Congressional District 26 (109th Congress), California",32431,687990,389263,1539,37.2,98344.0,31813.0,97696.0,6.0
2006,"Congressional District 27 (109th Congress), California",27944,668799,353625,1320,35.9,87525.0,25410.0,107880.0,4.7
2006,"Congressional District 28 (109th Congress), California",19575,654761,357475,1202,32.9,70772.0,21786.0,95412.0,5.9
2006,"Congressional District 29 (109th Congress), California",37567,651759,340658,1231,39.5,114255.0,25638.0,103245.0,5.5
2006,"Congressional District 30 (109th Congress), California",20473,650728,512768,1680,40.7,160823.0,39955.0,56712.0,5.8
