year,district,mortgage_cost,median_age,bach_deg_num,median_HH_income,high_school_num,unemp_rate
2009,"Congressional District 1 (111th Congress), Alabama",759,37.6,60390.0,21748.0,146029.0,11.4
2009,"Congressional District 2 (111th Congress), Alabama",658,36.7,54383.0,19698.0,139803.0,10.3
2009,"Congressional District 3 (111th Congress), Alabama",654,36.9,53837.0,19056.0,132645.0,13.7
2009,"Congressional District 4 (111th Congress), Alabama",563,39.7,38658.0,19200.0,149646.0,11.2
2009,"Congressional District 5 (111th Congress), Alabama",684,37.8,83880.0,23369.0,133090.0,10.8
2009,"Congressional District 6 (111th Congress), Alabama",951,38.0,112758.0,29180.0,136351.0,7.7
2009,"Congressional District 7 (111th Congress), Alabama",705,34.3,43496.0,18034.0,129348.0,13.6
2009,"Congressional District (at Large) (111th Congress), Alaska",1193,32.6,75816.0,28739.0,119495.0,9.5
2009,"Congressional District 1 (111th Congress), Arizona",744,38.6,52936.0,19942.0,136907.0,12.4
2009,"Congressional District 2 (111th Congress), Arizona",1088,38.3,93326.0,27264.0,187645.0,10.9
2009,"Congressional District 3 (111th Congress), Arizona",1207,36.0,107413.0,29267.0,108693.0,9.8
2009,"Congressional District 4 (111th Congress), Arizona",904,28.4,32076.0,21095.0,115434.0,14.0
2009,"Congressional District 5 (111th Congress), Arizona",1164,35.8,130419.0,29916.0,89375.0,8.3
2009,"Congressional District 6 (111th Congress), Arizona",1203,34.4,114079.0,28036.0,154328.0,9.7
2009,"Congressional District 7 (111th Congress), Arizona",838,31.3,55247.0,20127.0,146810.0,12.4
2009,"Congressional District 8 (111th Congress), Arizona",910,41.8,106500.0,25380.0,118137.0,8.5
2009,"Congressional District 1 (111th Congress), Arkansas",572,38.6,42823.0,18714.0,170903.0,10.1
2009,"Congressional District 2 (111th Congress), Arkansas",735,35.7,76667.0,23194.0,150776.0,9.3
2009,"Congressional District 3 (111th Congress), Arkansas",658,35.3,76916.0,21248.0,177668.0,7.6
2009,"Congressional District 4 (111th Congress), Arkansas",537,39.5,45983.0,18334.0,163324.0,10.0
2009,"Congressional District 1 (111th Congress), California",1142,36.8,79119.0,24132.0,95123.0,9.8
2009,"Congressional District 2 (111th Congress), California",944,37.9,62983.0,21061.0,106903.0,14.3
2009,"Congressional District 3 (111th Congress), California",1446,38.5,101517.0,30535.0,109121.0,11.2
2009,"Congressional District 4 (111th Congress), California",1386,41.6,104882.0,29294.0,120472.0,10.6
2009,"Congressional District 5 (111th Congress), California",1045,32.3,77212.0,23039.0,99695.0,14.9
2009,"Congressional District 6 (111th Congress), California",1597,41.2,114484.0,32543.0,75823.0,8.9
2009,"Congressional District 7 (111th Congress), California",1498,37.3,80820.0,28534.0,109745.0,11.6
2009,"Congressional District 8 (111th Congress), California",1528,38.1,168026.0,33650.0,77079.0,9.9
2009,"Congressional District 9 (111th Congress), California",1254,35.8,104217.0,28734.0,74802.0,10.5
2009,"Congressional District 10 (111th Congress), California",1723,37.8,113856.0,35032.0,89177.0,9.8
2009,"Congressional District 11 (111th Congress), California",1720,35.9,101631.0,32169.0,104492.0,11.8
2009,"Congressional District 12 (111th Congress), California",1802,39.8,133840.0,38156.0,80603.0,8.7
2009,"Congressional District 13 (111th Congress), California",1605,37.1,107514.0,34626.0,104958.0,11.2
2009,"Congressional District 14 (111th Congress), California",1801,37.5,122455.0,39379.0,52831.0,8.3
2009,"Congressional District 15 (111th Congress), California",1806,36.5,124108.0,37548.0,76663.0,10.0
2009,"Congressional District 16 (111th Congress), California",1713,34.4,88191.0,29215.0,92028.0,11.7
2009,"Congressional District 17 (111th Congress), California",1389,32.8,64393.0,23263.0,76158.0,12.5
2009,"Congressional District 18 (111th Congress), California",980,30.0,30851.0,18227.0,102209.0,19.1
2009,"Congressional District 19 (111th Congress), California",1154,34.5,70006.0,24015.0,114071.0,12.1
2009,"Congressional District 20 (111th Congress), California",834,27.5,20430.0,15825.0,101119.0,16.7
2009,"Congressional District 21 (111th Congress), California",990,30.4,51632.0,20091.0,101108.0,12.9
2009,"Congressional District 22 (111th Congress), California",1181,34.7,63482.0,24831.0,126643.0,11.9
2009,"Congressional District 23 (111th Congress), California",1365,32.4,62772.0,22496.0,80560.0,9.0
2009,"Congressional District 24 (111th Congress), California",1781,38.2,95750.0,30736.0,80411.0,8.8
2009,"Congressional District 25 (111th Congress), California",1477,32.3,68649.0,24951.0,125257.0,12.4
2009,"Congressional District 26 (111th Congress), California",1629,37.4,102570.0,31443.0,90084.0,9.5
2009,"Congressional District 27 (111th Congress), California",1526,36.2,98376.0,26151.0,100952.0,10.2
2009,"Congressional District 28 (111th Congress), California",1386,33.0,79429.0,21776.0,85649.0,12.8
2009,"Congressional District 29 (111th Congress), California",1399,40.1,113614.0,25731.0,86535.0,10.0
2009,"Congressional District 30 (111th Congress), California",1873,39.6,165929.0,41160.0,56950.0,8.6
2009,"Congressional District 31 (111th Congress), California",991,32.4,59372.0,16654.0,76755.0,11.7
