District,Representative,Prior experience,Education,Assumed office,Residence,Born,Female,Black,Hispanic,Asian,Age
Alabama 1,Bradley Byrne,"Alabama Senate
Alabama State Board of Education","Duke University (BA)
University of Alabama (JD)",2014,Fairhope,1955,0,0,0,0,63
Alabama 2,Martha Roby,Montgomery City Council,"New York University (BM)
Samford University (JD)",2011,Montgomery,1976,1,0,0,0,42
Alabama 3,Mike Rogers,"Calhoun County Commissioner
Alabama House of Representatives","Jacksonville State University (BA, MPA)
Birmingham School of Law (JD)",2003,Saks,1958,0,0,0,0,60
Alabama 4,Robert Aderholt,Haleyville Municipal Judge,"University of North Alabama
Birmingham–Southern College (BA)
Samford University (JD)",1997,Haleyville,1965,0,0,0,0,53
Alabama 5,Mo Brooks,"Alabama House of Representatives
Madison County Commissioner","Duke University (BA)
University of Alabama (JD)",2011,Huntsville,1954,0,0,0,0,64
Alabama 6,Gary Palmer,Policy analyst,University of Alabama (BS),2015,Hoover,1954,0,0,0,0,64
Alabama 7,Terri Sewell,Attorney,"Princeton University (BA)
St Hilda's College, Oxford (MA)
Harvard University (JD)",2011,Birmingham,1965,1,1,0,0,53
Alaska at large,Don Young,"Alaska Senate
Ship captain
Mayor of Fort Yukon, Alaska","Yuba College
California State University, Chico (BA)",1973,Fort Yukon,1933,0,0,0,0,85
Arizona 1,Tom O'Halleran,Arizona Senate,"Lewis University
DePaul University",2017,Sedona,1946,0,0,0,0,72
Arizona 2,Martha McSally,USAF Colonel,"United States Air Force Academy (BS)
Harvard University (MPP)",2015,Tucson,1966,1,0,0,0,52
Arizona 3,Raúl Grijalva,Pima County Board of Supervisors,University of Arizona (BA),2003,Tucson,1948,0,0,1,0,70
Arizona 4,Paul Gosar,President of the Northern Arizona Dental Society,"Creighton University (BS, DDS)",2011,Prescott,1958,0,0,0,0,60
Arizona 5,Andy Biggs,Arizona Senate,"Brigham Young University (BA)
University of Arizona (JD)
Arizona State University, Phoenix (MA)",2017,Gilbert,1958,0,0,0,0,60
Arizona 6,David Schweikert,"Arizona House of Representatives
Arizona Board of Education
Arizona Board of Equalization
Maricopa County Treasurer","Arizona State University, Tempe (BS, MBA)",2011,Scottsdale,1962,0,0,0,0,56
Arizona 7,Ruben Gallego,Arizona House of Representatives,Harvard University (BA),2015,Phoenix,1979,0,0,0,0,39
Arizona 8,Debbie Lesko,"Arizona House of Representatives
Arizona Senate
 President Pro Tempore of Arizona Senate",University of Wisconsin–Madison (BA),2018,Peoria,1958,1,0,0,0,60
