Location,Incumbent,Party,First_elected,results,candidates,notes
Alabama 1,Bradley Byrne,Republican,2013,Incumbent renominated.,"Bradley Byrne (Republican)[50]
Robert Kennedy Jr. (Democratic)[51]",
Alabama 2,Martha Roby,Republican,2010,Incumbent renominated.,"Tabitha Isner (Democratic)[51]
Martha Roby (Republican)[50]",
Alabama 3,Mike Rogers,Republican,2002,Incumbent renominated.,"Mallory Hagan (Democratic)[51]
Mike Rogers (Republican)[50]",
Alabama 4,Robert Aderholt,Republican,1996,Incumbent renominated.,"Robert Aderholt (Republican)[50]
Lee Auman (Democratic)[51]",
Alabama 5,Mo Brooks,Republican,2010,Incumbent renominated.,"Mo Brooks (Republican)[50]
Peter Joffrion (Democratic)[51]",
Alabama 6,Gary Palmer,Republican,2014,Incumbent renominated.,"Danner Kline (Democratic)[51]
Gary Palmer (Republican)[50]",
Alabama 7,Terri Sewell,Democratic,2010,Incumbent renominated.,Terri Sewell (Democratic)[51],
Alaska 1,Don Young,Republican,1972,Incumbent renominated,"Alyse Galvin (Undeclared/Democratic)[f][52]
Don Young (Republican)[52]",
Arizona 1,Tom O'Halleran,Democratic,2016,Incumbent renominated.,"Tom O'Halleran (Democratic)[53]
Wendy Rogers (Republican)[53]",
Arizona 2,Martha McSally,Republican,2014,Incumbent retiring to run for U.S. Senator.,"Ann Kirkpatrick (Democratic)[53]
Lea Marquez-Peterson (Republican)[53]",
Arizona 3,Raúl Grijalva,Democratic,2002,Incumbent renominated.,"Raúl Grijalva (Democratic)[53]
Nick Pierson (Republican)[53]",
Arizona 4,Paul Gosar,Republican,2010,Incumbent renominated.,"David Brill (Democratic)[53]
Paul Gosar (Republican)[53]
Haryaksha Gregor Knauer (Green)[53]",
Arizona 5,Andy Biggs,Republican,2016,Incumbent renominated.,"Andy Biggs (Republican)[53]
Joan Greene (Democratic)[53]",
Arizona 6,David Schweikert,Republican,2010,Incumbent renominated.,"Anita Malik (Democratic)[53]
David Schweikert (Republican)[53]",
Arizona 7,Ruben Gallego,Democratic,2014,Incumbent renominated.,"Ruben Gallego (Democratic)[53]
Gary Swing (Green)[53]",
Arizona 8,Debbie Lesko,Republican,2018,Incumbent renominated.,"Debbie Lesko (Republican)[53]
Hiral Tipirneni (Democratic)[53]",
Arizona 9,Kyrsten Sinema,Democratic,2012,"Incumbent retiring to
run for U.S. Senator.","Steve Ferrara (Republican)[53]
Greg Stanton (Democratic)[53]",
Arkansas 1,Rick Crawford,Republican,2010,Incumbent renominated.,"Rick Crawford (Republican)[54]
Chintan Desai (Democratic)[54]
Elvis Presley (Libertarian)[54]",
Arkansas 2,French Hill,Republican,2014,Incumbent renominated.,"French Hill (Republican)[54]
Joe Ryne Swafford (Libertarian)[54]
Clarke Tucker (Democratic)[54]",
Arkansas 3,Steve Womack,Republican,2010,Incumbent renominated.,"Michael Kalagias (Libertarian)[54]
Josh Mahony (Democratic)[54]
Josh Moody (Independent)[54]
Steve Womack (Republican)[54]",
Arkansas 4,Bruce Westerman,Republican,2014,Incumbent renominated.,"Tom Canada (Libertarian)[54]
Jack Foster (Independent)[54]
Lee McQueen (Independent)[54]
Hayden Shamel (Democratic)[54]
Bruce Westerman (Republican)[54]",
California 1,Doug LaMalfa,Republican,2012,Incumbent renominated.,"Audrey Denney (Democratic)[55]
Doug LaMalfa (Republican)[55]",
California 2,Jared Huffman,Democratic,2012,Incumbent renominated.,"Jared Huffman (Democratic)[55]
Dale Mensing (Republican)[55]",
California 3,John Garamendi,Democratic,2009,Incumbent renominated.,"John Garamendi (Democratic)[55]
Charlie Schaupp (Republican)[55]",
California 4,Tom McClintock,Republican,2008,Incumbent renominated.,"Tom McClintock (Republican)[55]
Jessica Morse (Democratic)[55]",
California 5,Mike Thompson,Democratic,1998,Incumbent renominated.,"Anthony Mills (No party preference)[55]
Mike Thompson (Democratic)[55]",
California 6,Doris Matsui,Democratic,2005,Incumbent renominated.,"Jrmar Jefferson (Democratic)[55]
Doris Matsui (Democratic)[55]",
California 7,Ami Bera,Democratic,2012,Incumbent renominated.,"Ami Bera (Democratic)[55]
Andrew Grant (Republican)[55]",
California 8,Paul Cook,Republican,2012,Incumbent renominated.,"Paul Cook (Republican)[55]
Tim Donnelly (Republican)[55]",
California 9,Jerry McNerney,Democratic,2006,Incumbent renominated.,"Marla Livengood (Republican)[55]
Jerry McNerney (Democratic)[55]",
California 10,Jeff Denham,Republican,2010,Incumbent renominated.,"Jeff Denham (Republican)[55]
Josh Harder (Democratic)[55]",
California 11,Mark DeSaulnier,Democratic,2014,Incumbent renominated.,"Mark DeSaulnier (Democratic)[55]
John Fitzgerald (Republican)[55]",
California 12,Nancy Pelosi,Democratic,1987,Incumbent renominated.,"Nancy Pelosi (Democratic)[55]
Lisa Remmer (Republican)[55]",
California 13,Barbara Lee,Democratic,1998,Incumbent renominated.,"Barbara Lee (Democratic)[55]
Laura Wells (Green)[56]",
California 14,Jackie Speier,Democratic,2008,Incumbent renominated.,"Cristina Osmeña (Republican)[55]
Jackie Speier (Democratic)[55]",
California 15,Eric Swalwell,Democratic,2012,Incumbent renominated.,"Rudy Peters (Republican)[55]
Eric Swalwell (Democratic)[55]",
California 16,Jim Costa,Democratic,2004,Incumbent renominated.,"Jim Costa (Democratic)[55]
Elizabeth Heng (Republican)[55]",
California 17,Ro Khanna,Democratic,2016,Incumbent renominated.,"Ron Cohen (Republican)[55]
Ro Khanna (Democratic)[55]",
California 18,Anna Eshoo,Democratic,1992,Incumbent renominated.,"Anna Eshoo (Democratic)[55]
Christine Russell (Republican)[55]",
California 19,Zoe Lofgren,Democratic,1994,Incumbent renominated.,"Justin Aguilera (Republican)[57]
Zoe Lofgren (Democratic)[55]",
California 20,Jimmy Panetta,Democratic,2016,Incumbent renominated.,"Ronald Kabat (No party preference)[55]
Jimmy Panetta (Democratic)[55]",
California 21,David Valadao,Republican,2012,Incumbent renominated.,"T.J. Cox (Democratic)[55]
David Valadao (Republican)[55]",
California 22,Devin Nunes,Republican,2002,Incumbent renominated.,"Andrew Janz (Democratic)[55]
Devin Nunes (Republican)[55]",
California 23,Kevin McCarthy,Republican,2006,Incumbent renominated.,"Tatiana Matta (Democratic)[55]
Kevin McCarthy (Republican)[55]",
California 24,Salud Carbajal,Democratic,2016,Incumbent renominated.,"Salud Carbajal (Democratic)[55]
Justin Fareed (Republican)[55]",
California 25,Steve Knight,Republican,2014,Incumbent renominated.,"Katie Hill (Democratic)[55]
Steve Knight (Republican)[55]",
California 26,Julia Brownley,Democratic,2012,Incumbent renominated.,"Julia Brownley (Democratic)[55]
Antonio Sabàto Jr. (Republican)[55]",
California 27,Judy Chu,Democratic,2009,Incumbent renominated.,"Judy Chu (Democratic)[55]
Bryan Witt (Democratic)[55]",
California 28,Adam Schiff,Democratic,2000,Incumbent renominated.,"Johnny Nalbandian (Republican)[55]
Adam Schiff (Democratic)[55]",
California 29,Tony Cárdenas,Democratic,2012,Incumbent renominated.,"Benito Bernal (Republican)[55]
Tony Cárdenas (Democratic)[55]",
California 30,Brad Sherman,Democratic,1996,Incumbent renominated.,"Mark Reed (Republican)[55]
Brad Sherman (Democratic)[55]",
California 31,Pete Aguilar,Democratic,2014,Incumbent renominated.,"Pete Aguilar (Democratic)[55]
Sean Flynn (Republican)[55]",
California 32,Grace Napolitano,Democratic,1998,Incumbent renominated.,"Grace Napolitano (Democratic)[55]
Joshua Scott (Republican)[57]",
California 33,Ted Lieu,Democratic,2014,Incumbent renominated.,"Ted Lieu (Democratic)[55]
Kenneth Wright (Republican)[55]",
California 34,Jimmy Gomez,Democratic,2017,Incumbent renominated.,"Jimmy Gomez (Democratic)[55]
Kenneth Mejia (Green)[55]",
California 35,Norma Torres,Democratic,2014,Incumbent renominated.,"Norma Torres (Democratic)[55]
Christian Valiente (Republican)[55]",
California 36,Raul Ruiz,Democratic,2012,Incumbent renominated.,"Kimberlin Brown Pelzer (Republican)[55]
Raul Ruiz (Democratic)[55]",
California 37,Karen Bass,Democratic,2010,Incumbent renominated.,"Karen Bass (Democratic)[55]
Ron Bassilian (Republican)[55]",
California 38,Linda Sánchez,Democratic,2002,Incumbent renominated.,"Ryan Downing (Republican)[55]
Linda Sánchez (Democratic)[55]",
California 39,Ed Royce,Republican,1992,Incumbent retiring.,"Gil Cisneros (Democratic)[55]
Young Kim (Republican)[55]",
California 40,Lucille Roybal-Allard,Democratic,1992,Incumbent renominated.,"Rodolfo Barragan (Green)[55]
Lucille Roybal-Allard (Democratic)[55]",
California 41,Mark Takano,Democratic,2012,Incumbent renominated.,"Aja Smith (Republican)[55]
Mark Takano (Democratic)[55]",
California 42,Ken Calvert,Republican,1992,Incumbent renominated.,"Ken Calvert (Republican)[55]
Julia Peacock (Democratic)[55]",
California 43,Maxine Waters,Democratic,1990,Incumbent renominated.,"Omar Navarro (Republican)[55]
Maxine Waters (Democratic)[55]",
California 44,Nanette Barragán,Democratic,2016,Incumbent renominated.,"Nanette Barragán (Democratic)[55]
Aja Brown (Democratic)[55]",
California 45,Mimi Walters,Republican,2014,Incumbent renominated.,"Katie Porter (Democratic)[55]
Mimi Walters (Republican)[55]",
California 46,Lou Correa,Democratic,2016,Incumbent renominated.,"Lou Correa (Democratic)[55]
Russell Lambert (Republican)[55]",
California 47,Alan Lowenthal,Democratic,2012,Incumbent renominated.,"John Briscoe (Republican)[55]
Alan Lowenthal (Democratic)[55]",
California 48,Dana Rohrabacher,Republican,1988,Incumbent renominated.,"Harley Rouda (Democratic)[55]
Dana Rohrabacher (Republican)[55]",
California 49,Darrell Issa,Republican,2000,Incumbent retiring.,"Diane Harkey (Republican)[55]
Mike Levin (Democratic)[55]",
California 50,Duncan Hunter,Republican,2008,Incumbent renominated.,"Ammar Campa-Najjar (Democratic)[55]
Duncan Hunter (Republican)[55]",
