"state_name","Location","Incumbent","Inc_party","Inc_first_elected","Candidate","Cand_party","district_num","state_abb","dist_id","Cand_party_abb","is_incumbent","years_in_congress"
"Alabama","Alabama 1","Bradley Byrne","Republican",2013,"Bradley Byrne","Republican","1","AL","AL_1","R",1,5
"Alabama","Alabama 1","Bradley Byrne","Republican",2013,"Robert Kennedy Jr.","Democratic","1","AL","AL_1","D",0,0
"Alabama","Alabama 2","Martha Roby","Republican",2010,"Tabitha Isner","Democratic","2","AL","AL_2","D",0,0
"Alabama","Alabama 2","Martha Roby","Republican",2010,"Martha Roby","Republican","2","AL","AL_2","R",1,8
"Alabama","Alabama 3","Mike Rogers","Republican",2002,"Mallory Hagan","Democratic","3","AL","AL_3","D",0,0
"Alabama","Alabama 3","Mike Rogers","Republican",2002,"Mike Rogers","Republican","3","AL","AL_3","R",1,16
"Alabama","Alabama 4","Robert Aderholt","Republican",1996,"Robert Aderholt","Republican","4","AL","AL_4","R",1,22
"Alabama","Alabama 4","Robert Aderholt","Republican",1996,"Lee Auman","Democratic","4","AL","AL_4","D",0,0
"Alabama","Alabama 5","Mo Brooks","Republican",2010,"Mo Brooks","Republican","5","AL","AL_5","R",1,8
"Alabama","Alabama 5","Mo Brooks","Republican",2010,"Peter Joffrion","Democratic","5","AL","AL_5","D",0,0
"Alabama","Alabama 6","Gary Palmer","Republican",2014,"Danner Kline","Democratic","6","AL","AL_6","D",0,0
"Alabama","Alabama 6","Gary Palmer","Republican",2014,"Gary Palmer","Republican","6","AL","AL_6","R",1,4
"Alabama","Alabama 7","Terri Sewell","Democratic",2010,"Terri Sewell","Democratic","7","AL","AL_7","D",1,8
"Alaska","Alaska 1","Don Young","Republican",1972,"Alyse Galvin","Undeclared/Democratic","1","AK","AK_1","D",0,0
"Alaska","Alaska 1","Don Young","Republican",1972,"Don Young","Republican","1","AK","AK_1","R",1,46
"Arizona","Arizona 1","Tom O'Halleran","Democratic",2016,"Tom O'Halleran","Democratic","1","AZ","AZ_1","D",1,2
"Arizona","Arizona 1","Tom O'Halleran","Democratic",2016,"Wendy Rogers","Republican","1","AZ","AZ_1","R",0,0
"Arizona","Arizona 2","Martha McSally","Republican",2014,"Ann Kirkpatrick","Democratic","2","AZ","AZ_2","D",0,0
"Arizona","Arizona 2","Martha McSally","Republican",2014,"Lea Marquez-Peterson","Republican","2","AZ","AZ_2","R",0,0
