year,dist_id,dem_vote_share,congress,icpsr,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,age,dem_incumbent,dem_prior_vote_share,president,house,senate,median_HH_income,median_age,mortgage_cost,unemp_rate,bachelor_deg_perc,black_perc,HS_diploma_perc,white_perc,redistricted
2006,AK_1,0.4142536911685538,109.0,14066.0,0.27899999999999997,0.013999999999999999,0.36700000000000005,-0.047,73.0,0,0.23930215134325164,0,0.464367816,0.484848485,25793.0,33.5,1015.0,9.4,0.10783923062802495,0.032051195950171106,0.17797248874342775,0.6867665692116892,0.0
2008,AK_1,0.4728373891787369,110.0,14066.0,0.27899999999999997,0.013999999999999999,0.29100000000000004,0.26899999999999996,75.0,0,0.4142536911685538,0,0.535632184,0.5,30271.0,33.0,1166.0,7.7,0.10888643771683523,0.036257108844181714,0.1640057526450073,0.69112900758131,0.0
2010,AK_1,0.30675520771572,111.0,14066.0,0.27899999999999997,0.013999999999999999,0.242,0.642,77.0,0,0.4728373891787369,1,0.590804598,0.581632653,28202.0,33.8,1167.0,9.6,0.11673354482237022,0.034609970797705836,0.15974425233023104,0.6743082837874745,0.0
2012,AK_1,0.309171845814863,112.0,14066.0,0.27899999999999997,0.013999999999999999,0.33799999999999997,-0.052000000000000005,79.0,0,0.30675520771572,1,0.443678161,0.5204081629999999,29932.0,33.8,1239.0,7.8,0.10876903242741462,0.03582888212301883,0.17810811143360644,0.6651878668232508,0.0
2014,AK_1,0.44562047485360107,113.0,14066.0,0.27899999999999997,0.013999999999999999,0.265,0.11599999999999999,81.0,0,0.309171845814863,1,0.462068966,0.540816327,31557.0,33.3,1258.0,7.6,0.11623494024964302,0.0336485994907239,0.17915198471085822,0.6563906549464391,0.0
2016,AK_1,0.4171968418718786,114.0,14066.0,0.27899999999999997,0.013999999999999999,0.29100000000000004,0.205,83.0,0,0.44562047485360107,1,0.43218390799999995,0.44897959200000004,31981.0,33.5,1278.0,8.0,0.12247167385098141,0.03201670319479602,0.18052174569412882,0.6441553645129897,0.0
2018,AK_1,0.4583226413480455,115.0,14066.0,0.27899999999999997,0.013999999999999999,0.271,0.325,85.0,0,0.4171968418718786,0,0.554022989,0.469387755,31686.0,34.5,1285.0,7.6,0.11684858643272798,0.029882602612886004,0.1799579613271244,0.6418751140518657,0.0
2006,AL_1,0.3184402042072486,109.0,20300.0,0.36700000000000005,0.513,0.382,0.239,47.0,0,0.36837709064528146,0,0.464367816,0.484848485,20810.0,37.0,686.0,6.3,0.08397557772006742,0.27977065128079026,0.23615151169834406,0.682811740927111,0.0
2008,AL_1,0.0,110.0,20300.0,0.36700000000000005,0.513,0.401,0.39299999999999996,49.0,0,0.3184402042072486,0,0.535632184,0.5,22473.0,37.3,736.0,7.2,0.09721454182200895,0.27028666226654063,0.221705405614323,0.6856585621101577,0.0
2010,AL_1,0.0,111.0,20300.0,0.36700000000000005,0.513,0.34,0.68,51.0,0,0.0,1,0.590804598,0.581632653,21250.0,38.4,763.0,12.8,0.0984887690534693,0.28217762218501524,0.21839860256438134,0.6737393724586314,0.0
