,dist_id,dist_name,year,unemployment
250,AK-1,AK Congressional District (at Large),2000,7.8
745,AZ-1,AZ Congressional District 1,2000,5.2
1240,AZ-4,AZ Congressional District 4,2000,5.0
1735,CA-5,CA Congressional District 5,2000,7.4
2230,CA-6,CA Congressional District 6,2000,3.3
2725,CA-7,CA Congressional District 7,2000,4.0
3220,CA-8,CA Congressional District 8,2000,4.8
3715,CA-9,CA Congressional District 9,2000,5.6
4210,CA-10,CA Congressional District 10,2000,2.7
4705,CA-11,CA Congressional District 11,2000,6.8
5200,CA-12,CA Congressional District 12,2000,3.1
5695,CA-13,CA Congressional District 13,2000,5.5
6190,CA-14,CA Congressional District 14,2000,2.2
6685,CA-15,CA Congressional District 15,2000,3.3
7180,CA-16,CA Congressional District 16,2000,5.5
7675,CA-21,CA Congressional District 21,2000,8.8
8170,CA-22,CA Congressional District 22,2000,6.2
8665,CA-23,CA Congressional District 23,2000,3.6
9160,CA-24,CA Congressional District 24,2000,6.4
9655,CA-25,CA Congressional District 25,2000,8.2
10150,CA-26,CA Congressional District 26,2000,7.7
10645,CA-27,CA Congressional District 27,2000,7.8
11140,CA-28,CA Congressional District 28,2000,5.5
11635,CA-29,CA Congressional District 29,2000,6.2
12130,CA-30,CA Congressional District 30,2000,10.6
12625,CA-31,CA Congressional District 31,2000,9.5
13120,CA-32,CA Congressional District 32,2000,6.9
13615,CA-33,CA Congressional District 33,2000,10.9
14110,CA-34,CA Congressional District 34,2000,7.7
14605,CA-35,CA Congressional District 35,2000,10.1
15100,CA-36,CA Congressional District 36,2000,2.5
15595,CA-37,CA Congressional District 37,2000,8.2
16090,CA-38,CA Congressional District 38,2000,6.3
16585,CA-39,CA Congressional District 39,2000,5.2
17080,CA-41,CA Congressional District 41,2000,4.9
17575,CA-42,CA Congressional District 42,2000,8.1
18070,CA-43,CA Congressional District 43,2000,6.4
18565,CA-44,CA Congressional District 44,2000,7.9
19060,CA-45,CA Congressional District 45,2000,4.7
19555,CA-46,CA Congressional District 46,2000,6.0
20050,CA-47,CA Congressional District 47,2000,4.1
20545,CA-48,CA Congressional District 48,2000,3.7
21040,CA-49,CA Congressional District 49,2000,4.9
21535,CA-50,CA Congressional District 50,2000,6.5
22030,CA-51,CA Congressional District 51,2000,3.6
22525,CO-1,CO Congressional District 1,2000,4.6
23020,CO-6,CO Congressional District 6,2000,2.5
23515,CT-1,CT Congressional District 1,2000,5.3
24010,CT-2,CT Congressional District 2,2000,4.4
24505,CT-3,CT Congressional District 3,2000,5.5
25000,CT-4,CT Congressional District 4,2000,3.4
25495,CT-5,CT Congressional District 5,2000,3.8
25990,CT-6,CT Congressional District 6,2000,3.6
26485,DE-1,DE Congressional District (at Large),2000,4.3
27475,FL-4,FL Congressional District 4,2000,3.2
27970,FL-7,FL Congressional District 7,2000,4.4
28465,FL-8,FL Congressional District 8,2000,4.2
28960,FL-9,FL Congressional District 9,2000,4.4
29455,FL-10,FL Congressional District 10,2000,5.7
29950,FL-11,FL Congressional District 11,2000,5.9
30445,FL-17,FL Congressional District 17,2000,9.3
30940,FL-18,FL Congressional District 18,2000,5.4
31435,FL-19,FL Congressional District 19,2000,4.1
31930,FL-21,FL Congressional District 21,2000,5.6
32425,FL-22,FL Congressional District 22,2000,5.0
32920,GA-4,GA Congressional District 4,2000,4.5
33415,GA-5,GA Congressional District 5,2000,6.3
33910,GA-6,GA Congressional District 6,2000,3.5
34405,HI-1,HI Congressional District 1,2000,5.1
34900,IL-1,IL Congressional District 1,2000,11.5
35395,IL-2,IL Congressional District 2,2000,10.2
35890,IL-3,IL Congressional District 3,2000,4.9
36385,IL-4,IL Congressional District 4,2000,6.3
36880,IL-5,IL Congressional District 5,2000,3.8
37375,IL-6,IL Congressional District 6,2000,3.4
37870,IL-7,IL Congressional District 7,2000,8.8
38365,IL-8,IL Congressional District 8,2000,3.9
38860,IL-9,IL Congressional District 9,2000,4.3
39355,IL-10,IL Congressional District 10,2000,3.9
39850,IL-13,IL Congressional District 13,2000,3.5
