dist_id,year,unemployment
AL_1,2005,6.3
AL_2,2005,6.7
AL_3,2005,8.8
AL_4,2005,6.9
AL_5,2005,7
AL_6,2005,4.2
AL_7,2005,11.4
AK_1,2005,8.6
AZ_1,2005,8.8
AZ_2,2005,6.8
AZ_3,2005,4.2
AZ_4,2005,8
AZ_5,2005,5.1
AZ_6,2005,4.5
AZ_7,2005,9.1
AZ_8,2005,5.3
AR_1,2005,7.7
AR_2,2005,6.1
AR_3,2005,5.3
AR_4,2005,9
CA_1,2005,6.6
CA_2,2005,9.4
CA_3,2005,6.4
CA_4,2005,6.2
CA_5,2005,8.3
CA_6,2005,6
CA_7,2005,7.6
CA_8,2005,6.9
CA_9,2005,9
CA_10,2005,6.2
CA_11,2005,6.4
CA_12,2005,6.1
CA_13,2005,8.1
CA_14,2005,6.1
CA_15,2005,7
CA_16,2005,7.2
CA_17,2005,8.2
CA_18,2005,13.9
CA_19,2005,8.1
CA_20,2005,14.4
CA_21,2005,8.9
CA_22,2005,7.6
CA_23,2005,6.3
CA_24,2005,4.3
CA_25,2005,9.3
CA_26,2005,4.7
CA_27,2005,6.5
CA_28,2005,9.2
CA_29,2005,5.6
CA_30,2005,5.3
CA_31,2005,9.8
CA_32,2005,7.6
CA_33,2005,10.3
CA_34,2005,6.8
CA_35,2005,9
CA_36,2005,4.7
CA_37,2005,8.9
CA_38,2005,8.3
CA_39,2005,6.7
CA_40,2005,6.1
CA_41,2005,7.5
CA_42,2005,5.4
CA_43,2005,8.5
CA_44,2005,6.7
CA_45,2005,6.5
CA_46,2005,4.8
CA_47,2005,8.1
CA_48,2005,3.7
CA_49,2005,5.5
CA_50,2005,4.6
CA_51,2005,7.2
CA_52,2005,5.2
CA_53,2005,6.7
CO_1,2005,6.8
CO_2,2005,6
CO_3,2005,6.1
CO_4,2005,6.2
CO_5,2005,6.8
CO_6,2005,4.5
CO_7,2005,7.2
CT_1,2005,7.7
CT_2,2005,4.7
CT_3,2005,6.4
CT_4,2005,6.6
CT_5,2005,6.3
DE_1,2005,5.6
FL_1,2005,6.7
FL_2,2005,7.1
FL_3,2005,9
FL_4,2005,5.7
FL_5,2005,6.2
