,district,party,votes,year
0,AL-01,GOP,152308,2018
1,AL-01,Dem,88365,2018
2,AL-02,GOP,138581,2018
3,AL-02,Dem,86580,2018
4,AL-03,GOP,147480,2018
5,AL-03,Dem,83145,2018
6,AL-04,GOP,183958,2018
7,AL-04,Dem,46370,2018
8,AL-05,GOP,156532,2018
9,AL-05,Dem,99694,2018
10,AL-06,GOP,192227,2018
11,AL-06,Dem,85337,2018
12,AK-00,GOP,126655,2018
13,AK-00,Dem,107165,2018
14,AZ-01,Dem,111886,2018
15,AZ-01,GOP,97958,2018
16,AZ-02,Dem,125349,2018
17,AZ-02,GOP,109759,2018
18,AZ-03,Dem,78308,2018
19,AZ-03,GOP,49331,2018
20,AZ-04,GOP,156086,2018
21,AZ-04,Dem,67346,2018
22,AZ-04,,2808,2018
23,AZ-05,GOP,125782,2018
24,AZ-05,Dem,83894,2018
25,AZ-06,GOP,122974,2018
26,AZ-06,Dem,95105,2018
27,AZ-07,Dem,67796,2018
28,AZ-07,GP,12647,2018
29,AZ-08,GOP,123681,2018
30,AZ-08,Dem,94583,2018
31,AZ-09,Dem,100618,2018
32,AZ-09,GOP,68604,2018
33,AR-01,GOP,138436,2018
34,AR-01,Dem,57459,2018
35,AR-01,,4571,2018
36,AR-02,GOP,131712,2018
37,AR-02,Dem,115564,2018
38,AR-02,,5176,2018
39,AR-03,GOP,148088,2018
40,AR-03,Dem,74278,2018
41,AR-03,,5842,2018
42,AR-04,GOP,135300,2018
43,AR-04,Dem,63271,2018
44,AR-04,,3904,2018
45,CA-01,GOP,110236,2018
46,CA-01,Dem,86137,2018
47,CA-02,Dem,135375,2018
48,CA-02,GOP,46731,2018
49,CA-03,Dem,87643,2018
50,CA-03,GOP,65628,2018
51,CA-04,GOP,120601,2018
52,CA-04,Dem,97345,2018
53,CA-05,Dem,121689,2018
54,CA-05,â,34279,2018
55,CA-06,Dem,58007,2018
56,CA-06,Dem,14781,2018
57,CA-07,Dem,54097,2018
58,CA-07,GOP,48597,2018
59,CA-08,GOP,66136,2018
60,CA-08,GOP,43589,2018
61,CA-09,Dem,56188,2018
62,CA-09,GOP,47316,2018
63,CA-10,GOP,56701,2018
64,CA-10,Dem,55414,2018
65,CA-11,Dem,110188,2018
66,CA-11,GOP,43053,2018
67,CA-12,Dem,161212,2018
68,CA-12,GOP,27231,2018
69,CA-13,Dem,106951,2018
70,CA-13,GP,14983,2018
71,CA-14,Dem,75585,2018
72,CA-14,GOP,23325,2018
73,CA-15,Dem,81428,2018
74,CA-15,GOP,34953,2018
75,CA-16,Dem,44769,2018
76,CA-16,GOP,37480,2018
77,CA-17,Dem,72765,2018
78,CA-17,GOP,27590,2018
79,CA-18,Dem,100440,2018
80,CA-18,GOP,40135,2018
81,CA-19,Dem,75959,2018
82,CA-19,GOP,32149,2018
83,CA-20,Dem,95124,2018
84,CA-20,â,25236,2018
85,CA-21,GOP,35416,2018
86,CA-21,Dem,30577,2018
87,CA-22,GOP,75111,2018
88,CA-22,Dem,59528,2018
89,CA-23,GOP,89568,2018
90,CA-23,Dem,45152,2018
91,CA-24,Dem,96088,2018
92,CA-24,GOP,75578,2018
93,CA-25,Dem,83662,2018
94,CA-25,GOP,79545,2018
95,CA-26,Dem,96489,2018
96,CA-26,GOP,65894,2018
97,CA-27,Dem,104414,2018
98,CA-27,Dem,28740,2018
99,CA-28,Dem,127153,2018
100,CA-28,GOP,39188,2018
101,CA-29,Dem,78470,2018
102,CA-29,GOP,20592,2018
103,CA-30,Dem,124383,2018
104,CA-30,GOP,49887,2018
105,CA-31,Dem,61747,2018
106,CA-31,GOP,48234,2018
107,CA-32,Dem,79335,2018
108,CA-32,GOP,39600,2018
109,CA-33,Dem,144380,2018
110,CA-33,GOP,67939,2018
111,CA-34,Dem,70695,2018
112,CA-34,GP,24593,2018
113,CA-35,Dem,58982,2018
114,CA-35,GOP,28282,2018
115,CA-36,Dem,57675,2018
116,CA-36,GOP,44616,2018
117,CA-37,Dem,134719,2018
118,CA-37,GOP,17972,2018
119,CA-38,Dem,91031,2018
120,CA-38,GOP,45115,2018
121,CA-39,GOP,76956,2018
122,CA-39,Dem,73077,2018
123,CA-40,Dem,61357,2018
124,CA-40,GP,17454,2018
125,CA-41,Dem,43929,2018
126,CA-41,GOP,28749,2018
127,CA-42,GOP,61833,2018
128,CA-42,Dem,42245,2018
129,CA-43,Dem,97911,2018
130,CA-43,GOP,31188,2018
131,CA-44,Dem,65748,2018
132,CA-44,Dem,28961,2018
133,CA-45,GOP,94998,2018
134,CA-45,Dem,88765,2018
135,CA-46,Dem,47763,2018
136,CA-46,GOP,27600,2018
137,CA-47,Dem,86427,2018
138,CA-47,GOP,52131,2018
139,CA-48,Dem,91750,2018
140,CA-48,GOP,89068,2018
141,CA-49,Dem,76135,2018
142,CA-49,GOP,69031,2018
143,CA-50,GOP,66934,2018
144,CA-50,Dem,56481,2018
145,CA-51,Dem,43387,2018
146,CA-51,GOP,21323,2018
147,CA-52,Dem,91206,2018
148,CA-52,GOP,58821,2018
149,CA-53,Dem,79839,2018
150,CA-53,GOP,42445,2018
151,CO-01,Dem,147329,2018
152,CO-01,GOP,53382,2018
153,CO-01,,5135,2018
154,CO-02,Dem,212332,2018
155,CO-02,GOP,121200,2018
156,CO-02,,19018,2018
157,CO-03,GOP,159878,2018
158,CO-03,Dem,133345,2018
159,CO-03,,14489,2018
160,CO-04,GOP,181513,2018
161,CO-04,Dem,111312,2018
162,CO-05,GOP,138434,2018
163,CO-05,Dem,90143,2018
164,CO-05,,7800,2018
165,CO-06,Dem,151239,2018
166,CO-06,GOP,125963,2018
167,CO-06,,7497,2018
168,CO-07,Dem,150385,2018
169,CO-07,GOP,92630,2018
170,CO-07,,8904,2018
171,CT-01,Dem,172568,2018
172,CT-01,GOP,94754,2018
173,CT-01,,3004,2018
174,CT-02,Dem,178873,2018
175,CT-02,GOP,102326,2018
176,CT-02,,6820,2018
177,CT-03,Dem,151942,2018
178,CT-03,GOP,92940,2018
179,CT-04,Dem,165278,2018
180,CT-04,GOP,106156,2018
181,CT-05,Dem,140922,2018
182,CT-05,GOP,110965,2018
183,DE-00,Dem,227333,2018
184,DE-00,GOP,125381,2018
185,FL-01,GOP,215980,2018
186,FL-01,Dem,105998,2018
187,FL-02,GOP,199112,2018
188,FL-02,Dem,96068,2018
189,FL-03,GOP,176286,2018
190,FL-03,Dem,129153,2018
191,FL-04,GOP,247197,2018
192,FL-04,Dem,122512,2018
193,FL-04,,9374,2018
194,FL-05,Dem,180105,2018
195,FL-05,GOP,89664,2018
196,FL-06,GOP,187705,2018
