dist_id,pty,cv1,yr
AL_1,D,88365,2018
AL_2,D,86580,2018
AL_3,D,83145,2018
AL_4,D,46370,2018
AL_5,D,99694,2018
AL_6,D,85337,2018
AK_1,D,107165,2018
AZ_1,D,111886,2018
AZ_2,D,125349,2018
AZ_3,D,78308,2018
AZ_4,D,67346,2018
AZ_5,D,83894,2018
AZ_6,D,95105,2018
AZ_7,D,67796,2018
AZ_8,D,94583,2018
AZ_9,D,100618,2018
AR_1,D,57459,2018
AR_2,D,115564,2018
AR_3,D,74278,2018
AR_4,D,63271,2018
CA_1,D,86137,2018
CA_2,D,135375,2018
CA_3,D,87643,2018
CA_4,D,97345,2018
CA_5,D,121689,2018
CA_6,D,58007,2018
CA_6,D,14781,2018
CA_7,D,54097,2018
CA_9,D,56188,2018
CA_10,D,55414,2018
CA_11,D,110188,2018
CA_12,D,161212,2018
CA_13,D,106951,2018
CA_14,D,75585,2018
CA_15,D,81428,2018
CA_16,D,44769,2018
CA_17,D,72765,2018
CA_18,D,100440,2018
CA_19,D,75959,2018
CA_20,D,95124,2018
CA_21,D,30577,2018
CA_22,D,59528,2018
CA_23,D,45152,2018
CA_24,D,96088,2018
CA_25,D,83662,2018
CA_26,D,96489,2018
CA_27,D,104414,2018
CA_27,D,28740,2018
CA_28,D,127153,2018
CA_29,D,78470,2018
CA_30,D,124383,2018
CA_31,D,61747,2018
CA_32,D,79335,2018
CA_33,D,144380,2018
CA_34,D,70695,2018
CA_35,D,58982,2018
CA_36,D,57675,2018
CA_37,D,134719,2018
CA_38,D,91031,2018
CA_39,D,73077,2018
CA_40,D,61357,2018
CA_41,D,43929,2018
CA_42,D,42245,2018
CA_43,D,97911,2018
CA_44,D,65748,2018
CA_44,D,28961,2018
CA_45,D,88765,2018
CA_46,D,47763,2018
CA_47,D,86427,2018
CA_48,D,91750,2018
CA_49,D,76135,2018
CA_50,D,56481,2018
CA_51,D,43387,2018
CA_52,D,91206,2018
CA_53,D,79839,2018
CO_1,D,147329,2018
CO_2,D,212332,2018
CO_3,D,133345,2018
CO_4,D,111312,2018
CO_5,D,90143,2018
CO_6,D,151239,2018
CO_7,D,150385,2018
CT_1,D,172568,2018
CT_2,D,178873,2018
CT_3,D,151942,2018
CT_4,D,165278,2018
CT_5,D,140922,2018
DE_1,D,227333,2018
FL_1,D,105998,2018
FL_2,D,96068,2018
FL_3,D,129153,2018
FL_4,D,122512,2018
FL_5,D,180105,2018
FL_6,D,145546,2018
FL_7,D,182949,2018
FL_8,D,142209,2018
FL_9,D,171941,2018
FL_11,D,127933,2018
FL_12,D,132695,2018
FL_13,D,182563,2018
FL_15,D,133686,2018
FL_16,D,163996,2018
FL_17,D,117074,2018
FL_18,D,153543,2018
FL_19,D,127952,2018
FL_22,D,172220,2018
FL_23,D,154052,2018
FL_25,D,84034,2018
FL_26,D,119723,2018
FL_27,D,130636,2018
GA_1,D,104406,2018
GA_2,D,135707,2018
GA_3,D,100733,2018
GA_4,D,225879,2018
GA_6,D,159268,2018
GA_7,D,138914,2018
GA_9,D,57823,2018
GA_10,D,111938,2018
GA_11,D,118053,2018
GA_12,D,100986,2018
GA_13,D,220748,2018
GA_14,D,53841,2018
HI_1,D,134603,2018
HI_2,D,153132,2018
ID_1,D,93634,2018
ID_2,D,110386,2018
IL_1,D,176560,2018
IL_2,D,183816,2018
IL_3,D,155940,2018
IL_4,D,134522,2018
IL_5,D,197162,2018
IL_6,D,156346,2018
IL_7,D,199625,2018
IL_8,D,124908,2018
IL_9,D,202372,2018
IL_10,D,151860,2018
IL_11,D,140907,2018
IL_12,D,116985,2018
IL_13,D,131958,2018
IL_14,D,142261,2018
IL_15,D,69234,2018
IL_16,D,100789,2018
IL_17,D,139461,2018
IL_18,D,93330,2018
IN_1,D,121800,2018
IN_2,D,88588,2018
IN_3,D,86420,2018
IN_4,D,83200,2018
IN_5,D,126586,2018
IN_6,D,73004,2018
IN_7,D,116673,2018
IN_8,D,86409,2018
IN_9,D,98292,2018
IA_1,D,169348,2018
IA_2,D,171054,2018
IA_3,D,169886,2018
IA_4,D,146698,2018
KS_1,D,69076,2018
KS_2,D,120421,2018
KS_3,D,164253,2018
KS_4,D,93384,2018
KY_1,D,78849,2018
KY_2,D,79994,2018
KY_3,D,172999,2018
KY_4,D,90533,2018
KY_5,D,45965,2018
KY_6,D,144730,2018
LA_1,D,44262,2018
LA_1,D,18552,2018
LA_1,D,8685,2018
LA_2,D,190066,2018
LA_3,D,43727,2018
LA_3,D,13477,2018
LA_3,D,9692,2018
LA_3,D,7814,2018
LA_4,D,72923,2018
LA_5,D,67113,2018
LA_6,D,55078,2018
LA_6,D,21619,2018
ME_1,D,190348,2018
ME_2,D,120030,2018
MD_1,D,109617,2018
MD_2,D,157764,2018
MD_3,D,186207,2018
MD_4,D,194129,2018
MD_5,D,200425,2018
MD_6,D,142656,2018
MD_7,D,187462,2018
MD_8,D,190973,2018
MA_2,D,173594,2018
MA_3,D,171303,2018
MA_5,D,223027,2018
MA_6,D,209876,2018
MA_9,D,175967,2018
MI_1,D,144203,2018
MI_2,D,131195,2018
MI_3,D,124981,2018
MI_4,D,106539,2018
MI_5,D,164521,2018
MI_6,D,134069,2018
MI_7,D,136410,2018
MI_8,D,172878,2018
MI_9,D,181844,2018
MI_10,D,106098,2018
MI_11,D,179976,2018
MI_12,D,177970,2018
MI_13,D,137495,2018
MI_14,D,202173,2018
MN_1,D,144891,2018
MN_2,D,177971,2018
MN_3,D,202402,2018
MN_4,D,216740,2018
MN_5,D,267690,2018
MN_6,D,122333,2018
MN_7,D,146669,2018
MN_8,D,141972,2018
MS_1,D,74241,2018
MS_2,D,148977,2018
MS_3,D,90193,2018
MS_4,D,56371,2018
MO_1,D,216479,2018
MO_2,D,174486,2018
MO_3,D,106478,2018
MO_4,D,93861,2018
MO_5,D,173592,2018
MO_6,D,97515,2018
MO_7,D,88642,2018
MO_8,D,65043,2018
MT_1,D,205911,2018
NE_1,D,90551,2018
NE_2,D,114154,2018
NE_3,D,49473,2018
NV_1,D,99892,2018
NV_2,D,120091,2018
NV_3,D,147048,2018
NV_4,D,120888,2018
NH_1,D,154583,2018
NH_2,D,152022,2018
NJ_1,D,136540,2018
NJ_2,D,122562,2018
NJ_3,D,134093,2018
NJ_4,D,119394,2018
NJ_5,D,148021,2018
NJ_6,D,121502,2018
NJ_7,D,138729,2018
NJ_8,D,105041,2018
NJ_9,D,121236,2018
NJ_10,D,153712,2018
NJ_11,D,155916,2018
NJ_12,D,145274,2018
NM_1,D,144299,2018
NM_2,D,92459,2018
NM_3,D,154057,2018
NY_1,D,115795,2018
NY_2,D,106996,2018
NY_3,D,145060,2018
NY_4,D,149078,2018
NY_6,D,103823,2018
NY_7,D,137444,2018
NY_8,D,166981,2018
NY_9,D,167199,2018
NY_10,D,146749,2018
NY_11,D,95458,2018
NY_12,D,194974,2018
NY_13,D,167667,2018
NY_14,D,100044,2018
NY_15,D,112798,2018
NY_17,D,157275,2018
NY_18,D,118342,2018
NY_19,D,122644,2018
NY_20,D,163148,2018
NY_21,D,90526,2018
NY_22,D,117779,2018
NY_23,D,100495,2018
NY_24,D,114102,2018
NY_25,D,149993,2018
NY_26,D,157086,2018
NY_27,D,129594,2018
NC_1,D,188060,2018
NC_2,D,148572,2018
NC_4,D,242002,2018
NC_5,D,118558,2018
NC_6,D,122323,2018
NC_7,D,119606,2018
NC_8,D,112971,2018
NC_9,D,136478,2018
NC_10,D,112386,2018
NC_11,D,115794,2018
NC_12,D,202228,2018
NC_13,D,128764,2018
ND_1,D,113891,2018
OH_1,D,135467,2018
OH_2,D,115777,2018
OH_3,D,174421,2018
OH_4,D,87061,2018
OH_5,D,97352,2018
OH_6,D,75196,2018
OH_7,D,105105,2018
OH_8,D,84738,2018
OH_9,D,152682,2018
OH_10,D,114699,2018
