yr,mn,sub,cst_n,cst,pty_n,pty,can,vv1,cv1,cvs1,pv1,pvs1,seat
1980,11,west virginia,west virginia 3,424,modern republican,583,"staton, mick",179563,94583,0.526739895,94583,0.526739895,1
1980,11,ohio,ohio 22,316,modern republican,583,"nahra, joseph j.",195869,80836,0.412704408,80836,0.412704408,0
1980,11,north carolina,north carolina 4,295,democrat,180,"andrews, ike",184631,97167,0.526276708,97167,0.526276708,1
1980,11,kentucky,kentucky 3,149,american,29,"vessels, robert d.",134724,468,0.003473769,468,0.003473769,0
1980,11,michigan,michigan 10,185,others,4000,scattering,242252,10,4.13E-05,10,4.13E-05,0
1980,11,illinois,illinois 17,109,democrat,180,"murer, michael a.",191111,65305,0.341712415,65305,0.341712415,0
1980,11,wisconsin,wisconsin 8,433,modern Republican,583,Toby Roth,250726,169664,0.67669089,169664,0.67669089,1
1980,11,oklahoma,oklahoma 1,325,modern republican,583,"freeman, richard c. ""dick""",197674,82293,0.416306645,82293,0.416306645,0
1980,11,illinois,illinois 4,119,democrat,180,"jalovec, richard s.",224192,71814,0.320323646,71814,0.320323646,0
1980,11,maine,maine 1,162,modern republican,583,"emery, david f.",275491,188667,0.68483907,188667,0.68483907,1
1980,11,california,california 29,38,modern republican,583,"hirt, michael arthur",92999,10282,0.110560328,10282,0.110560328,0
1980,11,new york,new york 14,256,middle class candidate,430,"harris, moses s.",59162,4151,0.07016328,4151,0.07016328,0
1980,11,california,california 3,39,democrat,180,"matsun, robert t.",241865,170670,0.705641568,170670,0.705641568,1
1980,11,nebraska,nebraska 1,228,others,4000,scattering,204341,31,0.000151707,31,0.000151707,0
1980,11,alabama,alabama 6,6,modern republican,583,"smith, albert lee",187982,95019,0.505468607,95019,0.505468607,1
1980,11,ohio,ohio 19,312,democrat,180,"meshel, harry",184304,77272,0.41926384,77272,0.41926384,0
1980,11,wisconsin,wisconsin 3,428,others,4000,scattering,258868,8,3.09E-05,8,3.09E-05,0
1980,11,utah,utah 1,402,modern republican,583,"hansen, james v.",301570,157111,0.520976901,157111,0.520976901,1
1980,11,california,california 15,23,libertarian,409,"pullen, michaell",150491,4524,0.030061599,4524,0.030061599,0
1980,11,south carolina,south carolina 3,364,modern republican,583,"parker, marshall",146638,57840,0.39444074,57840,0.39444074,0
1980,11,iowa,iowa 5,140,democrat,180,"harkin, tom",212370,127895,0.602227271,127895,0.602227271,1
1980,11,california,california 43,54,democrat,180,"metzger, tom",345420,46383,0.134280011,46383,0.134280011,0
1980,11,pennsylvania,pennsylvania 3,353,republican,583,william j. phillips,124608,40866,0.327956468,40866,0.327956468,0
1980,11,arizona,arizona 3,11,libertarian,409,"hayse, sharon",219822,12529,0.056996115,12529,0.056996115,0
1980,11,missouri,missouri 10,217,democrat,180,"burlison, bill",210632,94465,0.448483616,94465,0.448483616,0
1980,11,massachusetts,massachusetts 3,177,democrat,180,"early, joseph d.",195783,141560,0.723045409,141560,0.723045409,1
1980,11,west virginia,west virginia 2,423,modern republican,583,"benedict, cleve",183745,102805,0.559498191,102805,0.559498191,1
1980,11,alabama,alabama 4,4,statesman,642,"killingsworth, a j",132086,2721,0.020600215,2721,0.020600215,0
1980,11,texas,texas 21,391,libertarian,409,"rice, william",256744,1895,0.007380893,1895,0.007380893,0
1980,11,ohio,ohio 17,310,modern republican,583,"ashbrook, john m.",176770,128870,0.729026437,128870,0.729026437,1
