,Location,Incumbent,Inc_party,Inc_first_elected,Candidate,Cand_party,state_name,district_num,state_abb,dist_id,Cand_party_abb,is_incumbent,years_in_congress,District,Representative,Assumed office,Born,Female,Black,Hispanic,Asian,Age
0,Alabama 1,Bradley Byrne,Republican,2013.0,Bradley Byrne,Republican,Alabama,1,AL,AL_1,R,1,5,Alabama 1,Bradley Byrne,2014.0,1955.0,0.0,0.0,0.0,0.0,63.0
1,Alabama 1,Bradley Byrne,Republican,2013.0,Robert Kennedy Jr.,Democratic,Alabama,1,AL,AL_1,D,0,0,,,,,,,,,
2,Alabama 2,Martha Roby,Republican,2010.0,Tabitha Isner,Democratic,Alabama,2,AL,AL_2,D,0,0,,,,,,,,,
3,Alabama 2,Martha Roby,Republican,2010.0,Martha Roby,Republican,Alabama,2,AL,AL_2,R,1,8,Alabama 2,Martha Roby,2011.0,1976.0,1.0,0.0,0.0,0.0,42.0
4,Alabama 3,Mike Rogers,Republican,2002.0,Mallory Hagan,Democratic,Alabama,3,AL,AL_3,D,0,0,,,,,,,,,
5,Alabama 3,Mike Rogers,Republican,2002.0,Mike Rogers,Republican,Alabama,3,AL,AL_3,R,1,16,Alabama 3,Mike Rogers,2003.0,1958.0,0.0,0.0,0.0,0.0,60.0
6,Alabama 4,Robert Aderholt,Republican,1996.0,Robert Aderholt,Republican,Alabama,4,AL,AL_4,R,1,22,Alabama 4,Robert Aderholt,1997.0,1965.0,0.0,0.0,0.0,0.0,53.0
7,Alabama 4,Robert Aderholt,Republican,1996.0,Lee Auman,Democratic,Alabama,4,AL,AL_4,D,0,0,,,,,,,,,
8,Alabama 5,Mo Brooks,Republican,2010.0,Mo Brooks,Republican,Alabama,5,AL,AL_5,R,1,8,Alabama 5,Mo Brooks,2011.0,1954.0,0.0,0.0,0.0,0.0,64.0
9,Alabama 5,Mo Brooks,Republican,2010.0,Peter Joffrion,Democratic,Alabama,5,AL,AL_5,D,0,0,,,,,,,,,
10,Alabama 6,Gary Palmer,Republican,2014.0,Danner Kline,Democratic,Alabama,6,AL,AL_6,D,0,0,,,,,,,,,
