year,dist_id,congress,icpsr,nominate_dim1,nominate_dim2,nokken_poole_dim1,nokken_poole_dim2,age,dem_incumbent,dem_prior_vote_share,president,house,senate,median_HH_income,median_age,mortgage_cost,unemp_rate,bachelor_deg_perc,black_perc,HS_diploma_perc,white_perc,redistricted,dem_won_2016,dem_vote_share_2016
2006,AK_1,109.0,14066.0,0.279,0.014,0.3670000000000001,-0.047,73.0,0,0.23930215134325164,0,0.464367816,0.484848485,25793.0,33.5,1015.0,9.4,0.10783923062802496,0.032051195950171106,0.17797248874342775,0.6867665692116892,0.0,0.0,0.4171968418718786
2008,AK_1,110.0,14066.0,0.279,0.014,0.29100000000000004,0.269,75.0,0,0.4142536911685538,0,0.535632184,0.5,30271.0,33.0,1166.0,7.7,0.10888643771683523,0.036257108844181714,0.1640057526450073,0.6911290075813101,0.0,0.0,0.4171968418718786
2010,AK_1,111.0,14066.0,0.279,0.014,0.242,0.642,77.0,0,0.4728373891787369,1,0.590804598,0.581632653,28202.0,33.8,1167.0,9.6,0.11673354482237022,0.034609970797705836,0.15974425233023104,0.6743082837874745,0.0,0.0,0.4171968418718786
2012,AK_1,112.0,14066.0,0.279,0.014,0.338,-0.052000000000000005,79.0,0,0.30675520771571996,1,0.443678161,0.5204081629999999,29932.0,33.8,1239.0,7.8,0.10876903242741462,0.03582888212301883,0.17810811143360644,0.6651878668232508,0.0,0.0,0.4171968418718786
2014,AK_1,113.0,14066.0,0.279,0.014,0.265,0.116,81.0,0,0.309171845814863,1,0.462068966,0.540816327,31557.0,33.3,1258.0,7.6,0.11623494024964302,0.0336485994907239,0.17915198471085822,0.6563906549464391,0.0,0.0,0.4171968418718786
2016,AK_1,114.0,14066.0,0.279,0.014,0.29100000000000004,0.205,83.0,0,0.44562047485360107,1,0.432183908,0.448979592,31981.0,33.5,1278.0,8.0,0.1224716738509814,0.03201670319479602,0.1805217456941288,0.6441553645129897,0.0,0.0,0.4171968418718786
2006,AL_1,109.0,20300.0,0.3670000000000001,0.513,0.382,0.239,47.0,0,0.3683770906452815,0,0.464367816,0.484848485,20810.0,37.0,686.0,6.3,0.08397557772006743,0.27977065128079026,0.2361515116983441,0.6828117409271109,0.0,0.0,0.0
2008,AL_1,110.0,20300.0,0.3670000000000001,0.513,0.401,0.393,49.0,0,0.3184402042072486,0,0.535632184,0.5,22473.0,37.3,736.0,7.2,0.09721454182200896,0.27028666226654063,0.22170540561432298,0.6856585621101577,0.0,0.0,0.0
2010,AL_1,111.0,20300.0,0.3670000000000001,0.513,0.34,0.68,51.0,0,0.0,1,0.590804598,0.581632653,21250.0,38.4,763.0,12.8,0.0984887690534693,0.28217762218501524,0.21839860256438132,0.6737393724586314,0.0,0.0,0.0
2012,AL_1,112.0,20300.0,0.3670000000000001,0.513,0.31,0.506,53.0,0,0.0,1,0.443678161,0.5204081629999999,22195.0,38.7,765.0,11.6,0.0969766395050899,0.2771447450428199,0.223430899563722,0.6782290921262205,1.0,0.0,0.0
2014,AL_1,113.0,21376.0,0.544,0.304,0.5710000000000001,0.368,59.0,0,0.0,1,0.462068966,0.540816327,23349.0,39.5,798.0,8.3,0.102041812156726,0.2788816604308659,0.22162280078589747,0.6723126138266864,0.0,0.0,0.0
2016,AL_1,114.0,21376.0,0.544,0.304,0.518,0.253,61.0,0,0.3175432134494462,1,0.432183908,0.448979592,25500.0,39.6,793.0,5.7,0.10464797709441456,0.2734687851778036,0.22453890017417671,0.6740950831633442,0.0,0.0,0.0
2006,AL_2,109.0,29300.0,0.414,0.528,0.463,0.131,69.0,0,0.2849286083473317,0,0.464367816,0.484848485,19304.0,37.3,589.0,7.1,0.0761688188801925,0.3098541274649935,0.22748022543237875,0.6620914499708439,0.0,0.0,0.4538475554205891
