congress,year,delsouth,state_fips,contest_uid,inc,king_dist,lewis_dist,state_name,turnout,inc,vote_share,geom_uid
114.0,2014.0,1.0,22.0,114022006,0,,6.0,louisiana,329327.0,0,0.2888527208519192,022113114006
114.0,2014.0,0.0,23.0,114023001,1,,1.0,maine,281425.0,1,0.6633170471706493,023113114001
114.0,2014.0,0.0,23.0,114023002,0,,2.0,maine,251888.0,0,0.4707171441275487,023113114002
114.0,2014.0,0.0,24.0,114024001,-1,,1.0,maryland,250185.0,-1,0.2951535863461039,024113114001
114.0,2014.0,0.0,24.0,114024002,1,,2.0,maryland,190823.0,1,0.6310140811118157,024113114002
114.0,2014.0,0.0,24.0,114024003,1,,3.0,maryland,215623.0,1,0.5963835026875611,024113114003
114.0,2014.0,0.0,24.0,114024004,1,,4.0,maryland,188845.0,1,0.7129021154915407,024113114004
114.0,2014.0,0.0,24.0,114024005,1,,5.0,maryland,225477.0,1,0.6418614758933283,024113114005
114.0,2014.0,0.0,24.0,114024006,1,,6.0,maryland,186634.0,1,0.5074316576829516,024113114006
114.0,2014.0,0.0,24.0,114024007,1,,7.0,maryland,200499.0,1,0.7213951191776518,024113114007
114.0,2014.0,0.0,24.0,114024008,1,,8.0,maryland,224581.0,1,0.6087870300693291,024113114008
114.0,2014.0,0.0,25.0,114025001,1,,1.0,massachusetts,167612.0,1,1.0,025113114001
114.0,2014.0,0.0,25.0,114025002,1,,2.0,massachusetts,169640.0,1,1.0,025113114002
114.0,2014.0,0.0,25.0,114025003,1,,3.0,massachusetts,220742.0,1,0.6301655326127334,025113114003
114.0,2014.0,0.0,25.0,114025004,1,,4.0,massachusetts,184158.0,1,1.0,025113114004
114.0,2014.0,0.0,25.0,114025005,1,,5.0,massachusetts,182100.0,1,1.0,025113114005
114.0,2014.0,0.0,25.0,114025006,0,,6.0,massachusetts,261627.0,0,0.571951671654684,025113114006
114.0,2014.0,0.0,25.0,114025007,1,,7.0,massachusetts,142133.0,1,1.0,025113114007
114.0,2014.0,0.0,25.0,114025008,1,,8.0,massachusetts,200644.0,1,1.0,025113114008
114.0,2014.0,0.0,25.0,114025009,1,,9.0,massachusetts,255384.0,1,0.5498112646054569,025113114009
114.0,2014.0,0.0,26.0,114026001,-1,,1.0,michigan,243677.0,-1,0.4648079219622697,026113114001
114.0,2014.0,0.0,26.0,114026002,-1,,2.0,michigan,206419.0,-1,0.34323875224664396,026113114002
114.0,2014.0,0.0,26.0,114026003,-1,,3.0,michigan,210474.0,-1,0.4025200262265173,026113114003
114.0,2014.0,0.0,26.0,114026004,0,,4.0,michigan,209739.0,0,0.40897019629158143,026113114004
114.0,2014.0,0.0,26.0,114026005,1,,5.0,michigan,217404.0,1,0.6815973947121489,026113114005
114.0,2014.0,0.0,26.0,114026006,-1,,6.0,michigan,201192.0,-1,0.41945504791443,026113114006
114.0,2014.0,0.0,26.0,114026007,-1,,7.0,michigan,211647.0,-1,0.4350782198660978,026113114007
114.0,2014.0,0.0,26.0,114026008,0,,8.0,michigan,235008.0,0,0.43517241966230935,026113114008
114.0,2014.0,0.0,26.0,114026009,1,,9.0,michigan,217812.0,1,0.6259618386498448,026113114009
114.0,2014.0,0.0,26.0,114026010,-1,,10.0,michigan,224212.0,-1,0.29946211621144275,026113114010
114.0,2014.0,0.0,26.0,114026011,0,,11.0,michigan,242116.0,0,0.4199681144575328,026113114011
114.0,2014.0,0.0,26.0,114026012,0,,12.0,michigan,199062.0,0,0.6748952587636012,026113114012
114.0,2014.0,0.0,26.0,114026013,1,,13.0,michigan,159944.0,1,0.8297279047666684,026113114013
114.0,2014.0,0.0,26.0,114026014,0,,14.0,michigan,207073.0,0,0.7981339913943392,026113114014
114.0,2014.0,0.0,27.0,114027001,1,,1.0,minnesota,226387.0,1,0.5426592516354738,027113114001
114.0,2014.0,0.0,27.0,114027002,-1,,2.0,minnesota,233343.0,-1,0.40954731875393735,027113114002
114.0,2014.0,0.0,27.0,114027003,-1,,3.0,minnesota,269361.0,-1,0.3781022493976485,027113114003
114.0,2014.0,0.0,27.0,114027004,1,,4.0,minnesota,227349.0,1,0.6503525416870098,027113114004
114.0,2014.0,0.0,27.0,114027005,1,,5.0,minnesota,223656.0,1,0.7470356261401437,027113114005
114.0,2014.0,0.0,27.0,114027006,0,,6.0,minnesota,224254.0,0,0.4054598803142865,027113114006
114.0,2014.0,0.0,27.0,114027007,1,,7.0,minnesota,240501.0,1,0.542808553810587,027113114007
114.0,2014.0,0.0,27.0,114027008,1,,8.0,minnesota,254448.0,1,0.5073335219769854,027113114008
114.0,2014.0,1.0,28.0,114028001,-1,,1.0,mississippi,146335.0,-1,0.2987186934089589,028113114001
114.0,2014.0,1.0,28.0,114028002,1,,2.0,mississippi,100688.0,1,1.0,028113114002
114.0,2014.0,1.0,28.0,114028003,-1,,3.0,mississippi,165515.0,-1,0.2884572395251186,028113114003
114.0,2014.0,1.0,28.0,114028004,-1,,4.0,mississippi,146645.0,-1,0.2582358757543728,028113114004
114.0,2014.0,0.0,29.0,114029001,1,,1.0,missouri,154588.0,1,0.7718257562035863,029113114001
114.0,2014.0,0.0,29.0,114029002,-1,,2.0,missouri,223575.0,-1,0.33717544448171755,029113114002
114.0,2014.0,0.0,29.0,114029003,-1,,3.0,missouri,182961.0,-1,0.28432835413011515,029113114003
114.0,2014.0,0.0,29.0,114029004,-1,,4.0,missouri,166478.0,-1,0.2790999411333629,029113114004
114.0,2014.0,0.0,29.0,114029005,1,,5.0,missouri,148327.0,1,0.5343329265743929,029113114005
114.0,2014.0,0.0,29.0,114029006,-1,,6.0,missouri,179773.0,-1,0.3068147052115724,029113114006
114.0,2014.0,0.0,29.0,114029007,-1,,7.0,missouri,151336.0,-1,0.3124306179626791,029113114007
114.0,2014.0,0.0,29.0,114029008,-1,,8.0,missouri,144845.0,-1,0.26732714280782904,029113114008
114.0,2014.0,0.0,30.0,114030000,0,,0.0,montana,352561.0,0,0.4217426204259688,030103114000
114.0,2014.0,0.0,31.0,114031001,-1,,1.0,nebraska,179057.0,-1,0.3118448315340925,031113114001
114.0,2014.0,0.0,31.0,114031002,-1,,2.0,nebraska,162029.0,-1,0.5176357318751581,031113114002
114.0,2014.0,0.0,31.0,114031003,-1,,3.0,nebraska,184964.0,-1,0.24612356999199844,031113114003
114.0,2014.0,0.0,32.0,114032001,1,,1.0,nevada,76056.0,1,0.6001235931418955,032113114001
114.0,2014.0,0.0,32.0,114032002,-1,,2.0,nevada,174418.0,-1,0.2982261005171485,032113114002
114.0,2014.0,0.0,32.0,114032003,-1,,3.0,nevada,141172.0,-1,0.3729068087156093,032113114003
114.0,2014.0,0.0,32.0,114032004,1,,4.0,nevada,123310.0,1,0.4853134376773984,032113114004
